"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:10:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:36:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:36:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:37:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:37:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:37:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:37:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:38:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:38:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:38:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:39:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:39:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:39:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:40:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:45 AM","11:31 1st",NA,NA,"241","1.66","2.15","3","NBA"
"09:41:57 AM",NA,NA,NA,"241","1.66","2.15","3","NBA"
"09:42:25 AM","11:31 1st",NA,NA,"240.5","1.62","2.25","3","NBA"
"09:42:39 AM","10:31 1st",NA,NA,"240.5","1.62","2.25","3","NBA"
"09:42:59 AM","10:31 1st",NA,NA,"244.5","1.7","2.1","2","NBA"
"09:43:19 AM","9:52 1st",NA,NA,"244.5","1.7","2.1","2","NBA"
"09:43:35 AM","9:52 1st","Q1","6","241.5","1.7","2.1","2","NBA"
"09:43:59 AM","9:37 1st","Q1","6","241.5","1.7","2.1","2","NBA"
"09:44:23 AM","9:37 1st","Q1","6","242.5","1.6","2.25","3","NBA"
"09:44:36 AM","9:03 1st","Q1","6","242.5","1.6","2.25","3","NBA"
"09:45:02 AM","8:48 1st","Q1","10","238.5","1.6","2.25","3","NBA"
"09:45:22 AM","8:26 1st","Q1","10","238.5","1.6","2.25","3","NBA"
"09:45:40 AM","7:55 1st","Q1","10","238.5","1.52","2.45","4","NBA"
"09:46:02 AM","7:55 1st","Q1","14","238.5","1.48","2.55","4","NBA"
"09:46:23 AM","7:30 1st","Q1","14","238.5","1.48","2.55","4","NBA"
"09:46:41 AM","7:19 1st","Q1","14","238.5","1.6","2.25","3","NBA"
"09:47:01 AM","7:01 1st","Q1","14","238.5","1.6","2.25","3","NBA"
"09:47:18 AM","7:01 1st","Q1","14","234.5","1.6","2.25","3","NBA"
"09:47:39 AM","6:32 1st","Q1","19","234.5","1.6","2.25","3","NBA"
"09:48:00 AM","6:08 1st","Q1","19","234.5","1.72","2.05","2","NBA"
"09:48:16 AM","6:08 1st","Q1","19","234.5","1.72","2.05","2","NBA"
"09:48:39 AM","5:40 1st","Q1","19","232.5","1.7","2.1","2","NBA"
"09:49:00 AM","5:40 1st","Q1","22","230.5","1.72","2.05","2","NBA"
"09:49:19 AM","5:40 1st","Q1","22","230.5","1.72","2.05","2","NBA"
"09:49:40 AM","5:40 1st","Q1","22","230.5","1.72","2.05","2","NBA"
"09:50:01 AM","5:40 1st","Q1","22","230.5","1.72","2.05","2","NBA"
"09:50:30 AM","5:40 1st","Q1","22","230.5","1.72","2.05","2","NBA"
"09:50:41 AM","5:40 1st","Q1","22","230.5","1.72","2.05","2","NBA"
"09:51:06 AM","5:40 1st","Q1","22","230.5","1.72","2.05","2","NBA"
"09:51:22 AM","5:40 1st","Q1","28","236.5","1.7","2.1","2","NBA"
"09:51:42 AM","5:40 1st","Q1","28","236.5","1.7","2.1","2","NBA"
"09:52:00 AM","5:40 1st","Q1","28","234.5","1.7","2.1","2","NBA"
"09:52:19 AM","5:10 1st","Q1","28","234.5","1.7","2.1","2","NBA"
"09:52:45 AM","5:10 1st","Q1","28","233.5","1.9","1.84","1","NBA"
"09:52:55 AM","4:48 1st","Q1","31","233.5","1.9","1.84","1","NBA"
"09:53:23 AM","4:22 1st","Q1","31","234.5","1.84","1.9","1","NBA"
"09:53:42 AM","4:22 1st","Q1","31","236.5","1.68","2.1","2","NBA"
"09:54:03 AM","4:17 1st","Q1","31","236.5","1.68","2.1","2","NBA"
"09:54:22 AM","3:53 1st","Q1","36","234.5","1.68","2.1","2","NBA"
"09:54:49 AM","3:48 1st","Q1","36","231.5","1.66","2.15","2","NBA"
"09:54:59 AM","3:48 1st","Q1","36","231.5","1.66","2.15","2","NBA"
"09:55:23 AM","3:48 1st","Q1","36","231.5","1.66","2.15","2","NBA"
"09:55:39 AM","3:31 1st","Q1","36","231.5","1.66","2.15","2","NBA"
