"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:07:16 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"09:07:28 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"09:07:48 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"09:08:12 AM","1st 20:00","First Half","2","133","2.95","1.37","6","NCAA"
"09:08:30 AM","1st 19:41","First Half","2","133","2.95","1.37","6","NCAA"
"09:08:54 AM","1st 19:29","First Half","2","131","2.93","1.37","6","NCAA"
"09:09:11 AM","1st 18:58","First Half","2","131","2.93","1.37","6","NCAA"
"09:09:29 AM","1st 18:58","First Half","2","129","3.11","1.34","6.5","NCAA"
"09:09:48 AM","1st 18:49","First Half","2","129","3.11","1.34","6.5","NCAA"
"09:10:14 AM","1st 18:16","First Half","2","126.5","3.27","1.31","7.5","NCAA"
"09:10:34 AM","1st 18:05","First Half","2","126.5","3.27","1.31","7.5","NCAA"
"09:10:50 AM","1st 18:05","First Half","2","125","3.05","1.35","6.5","NCAA"
"09:11:12 AM","1st 17:31","First Half","2","125","3.05","1.35","6.5","NCAA"
"09:11:32 AM","1st 16:57","First Half","2","125","2.99","1.36","6.5","NCAA"
"09:11:51 AM","1st 16:14","First Half","4","125","2.99","1.36","6.5","NCAA"
"09:12:14 AM","1st 15:56","First Half","6","125","2.97","1.36","6","NCAA"
"09:12:32 AM","1st 15:56","First Half","6","125","2.97","1.36","6","NCAA"
"09:12:52 AM","1st 15:56","First Half","6","126","2.78","1.41","5.5","NCAA"
"09:13:14 AM","1st 15:56","First Half","6","126","2.78","1.41","5.5","NCAA"
"09:13:33 AM","1st 15:56","First Half","6","126","2.99","1.36","6","NCAA"
"09:13:50 AM","1st 15:56","First Half","6","126","2.99","1.36","6","NCAA"
"09:14:12 AM","1st 15:56","First Half","6","126","2.99","1.36","6","NCAA"
"09:14:30 AM","1st 15:56","First Half","6","126","2.99","1.36","6","NCAA"
"09:14:53 AM","1st 15:56","First Half","6","125.5","2.84","1.39","5.5","NCAA"
"09:15:13 AM","1st 15:56","First Half","6","125.5","2.84","1.39","5.5","NCAA"
"09:15:30 AM","1st 15:56","First Half","6","122","3.07","1.34","6.5","NCAA"
"09:15:51 AM","1st 15:56","First Half","6","122","3.07","1.34","6.5","NCAA"
"09:16:14 AM","1st 15:42","First Half","8","124","3.45","1.28","7.5","NCAA"
"09:16:34 AM","1st 15:01","First Half","10","124","3.45","1.28","7.5","NCAA"
"09:16:52 AM","1st 14:35","First Half","10","125","3.45","1.28","8.5","NCAA"
"09:17:15 AM","1st 14:18","First Half","11","125","3.45","1.28","8.5","NCAA"
"09:17:32 AM","1st 14:18","First Half","11","127","3.27","1.31","7.5","NCAA"
"09:17:53 AM","1st 14:18","First Half","12","127","3.27","1.31","7.5","NCAA"
"09:18:14 AM","1st 14:18","First Half","13","126.5","3.32","1.3","7.5","NCAA"
"09:18:31 AM","1st 14:06","First Half","13","126.5","3.32","1.3","7.5","NCAA"
"09:18:52 AM","1st 14:06","First Half","13","127.5","3.45","1.28","7","NCAA"
"09:19:12 AM","1st 14:06","First Half","14","127.5","3.45","1.28","7","NCAA"
"09:19:31 AM","1st 14:06","First Half","14","125","3.45","1.28","8","NCAA"
"09:19:51 AM","1st 13:48","First Half","14","125","3.45","1.28","8","NCAA"
"09:20:19 AM","1st 13:18","First Half","14","126.5","3.9","1.23","8","NCAA"
"09:20:30 AM","1st 13:18","First Half","14","126.5","3.9","1.23","8","NCAA"
"09:20:51 AM","1st 13:18","First Half","17","128","2.65","1.44","4.5","NCAA"
"09:21:16 AM","1st 13:18","First Half","17","128","2.65","1.44","4.5","NCAA"
"09:21:35 AM","1st 12:33","First Half","17","125.5","2.92","1.37","6","NCAA"
"09:21:53 AM","1st 12:33","First Half","17","125.5","2.92","1.37","6","NCAA"
"09:22:13 AM","1st 12:17","First Half","17","128.5","2.67","1.44","5","NCAA"
"09:22:31 AM","1st 12:17","First Half","17","128.5","2.67","1.44","5","NCAA"
"09:22:55 AM","1st 12:17","First Half","19","129.5","2.61","1.45","5","NCAA"
"09:23:11 AM","1st 12:17","First Half","21","129.5","2.61","1.45","5","NCAA"
"09:23:35 AM","1st 11:43","First Half","21","126.5","2.14","1.65","2.5","NCAA"
"09:23:51 AM","1st 11:16","First Half","23","126.5","2.14","1.65","2.5","NCAA"
"09:24:09 AM","1st 11:16","First Half","23","128","2.14","1.65","2.5","NCAA"
"09:24:31 AM","1st 11:16","First Half","23","128","2.14","1.65","2.5","NCAA"
"09:24:50 AM","1st 10:47","First Half","23","126.5","2.19","1.63","2.5","NCAA"
"09:25:11 AM","1st 10:47","First Half","23","126.5","2.19","1.63","2.5","NCAA"
"09:25:32 AM","1st 10:47","First Half","23","126.5","2.19","1.63","2.5","NCAA"
"09:25:53 AM","1st 10:47","First Half","23","126.5","2.19","1.63","2.5","NCAA"
"09:26:12 AM","1st 10:47","First Half","23","126.5","2.19","1.63","2.5","NCAA"
"09:26:34 AM","1st 10:47","First Half","23","126.5","2.19","1.63","2.5","NCAA"
"09:26:57 AM","1st 10:47","First Half","23","127","2.12","1.67","2","NCAA"
"09:27:12 AM","1st 10:47","First Half","23","127","2.12","1.67","2","NCAA"
"09:27:33 AM","1st 10:47","First Half","26","129","1.8","1.93","1","NCAA"
"09:27:51 AM","1st 10:15","First Half","26","129","1.8","1.93","1","NCAA"
"09:28:19 AM","1st 10:15","First Half","26","126","1.78","1.95","2","NCAA"
"09:28:34 AM","1st 10:15","First Half","26","126","1.78","1.95","2","NCAA"
"09:28:51 AM","1st 10:15","First Half","26","127.5","1.74","2.01","1.5","NCAA"
"09:29:10 AM","1st 9:55","First Half","26","127.5","1.74","2.01","1.5","NCAA"
"09:29:35 AM","1st 9:55","First Half","31","130","1.66","2.13","2.5","NCAA"
"09:29:53 AM","1st 9:34","First Half","31","130","1.66","2.13","2.5","NCAA"
"09:30:12 AM","1st 9:20","First Half","33","129.5","1.53","2.39","3.5","NCAA"
"09:30:32 AM","1st 9:20","First Half","33","129.5","1.53","2.39","3.5","NCAA"
"09:30:58 AM","1st 8:10","First Half","33","129.5","1.43","2.53","4","NCAA"
"09:31:11 AM","1st 8:10","First Half","33","129.5","1.43","2.53","4","NCAA"
"09:31:34 AM","1st 8:10","First Half","33","127","1.54","2.36","2.5","NCAA"
"09:31:50 AM","1st 8:10","First Half","33","127","1.54","2.36","2.5","NCAA"
"09:32:10 AM","1st 8:10","First Half","33","127","1.54","2.36","2.5","NCAA"
"09:32:34 AM","1st 8:10","First Half","33","127","1.54","2.36","2.5","NCAA"
"09:32:53 AM","1st 8:10","First Half","33","129","1.52","2.42","3.5","NCAA"
"09:33:11 AM","1st 7:35","First Half","33","129","1.52","2.42","3.5","NCAA"
"09:33:30 AM","1st 7:35","First Half","33","127","1.54","2.36","2.5","NCAA"
"09:33:51 AM","1st 7:35","First Half","33","127","1.54","2.36","2.5","NCAA"
"09:34:17 AM","1st 7:35","First Half","33","127","1.36","2.97","5.5","NCAA"
"09:34:33 AM","1st 7:35","First Half","33","127","1.36","2.97","5.5","NCAA"
"09:34:49 AM","1st 7:35","First Half","33","126.5","1.51","2.45","3.5","NCAA"
"09:35:15 AM","1st 7:35","First Half","33","126.5","1.51","2.45","3.5","NCAA"
"09:35:38 AM","1st 7:17","First Half","33","124.5","1.42","2.73","4.5","NCAA"
"09:35:51 AM","1st 6:53","First Half","33","124.5","1.42","2.73","4.5","NCAA"
"09:36:15 AM","1st 6:53","First Half","33","123","1.45","2.63","4.5","NCAA"
"09:36:36 AM","1st 6:53","First Half","33","123","1.45","2.63","4.5","NCAA"
"09:36:51 AM","1st 6:53","First Half","33","122","1.46","2.58","4","NCAA"
"09:37:14 AM","1st 5:39","First Half","33","122","1.46","2.58","4","NCAA"
"09:37:36 AM","1st 5:52","First Half","33","121.5","1.51","2.44","3.5","NCAA"
"09:37:51 AM","1st 5:35","First Half","33","121.5","1.51","2.44","3.5","NCAA"
"09:38:16 AM","1st 5:21","First Half","36","122.5","1.73","2.03","1.5","NCAA"
"09:38:53 AM","1st 5:21","First Half","36","122.5","1.83","1.9","1","NCAA"
"09:39:16 AM","1st 5:21","First Half","36","122.5","1.83","1.9","1","NCAA"
"09:39:31 AM","1st 5:07","First Half","36","121.5","1.56","2.33","3","NCAA"
"09:39:54 AM","1st 5:07","First Half","37","121.5","1.56","2.33","3","NCAA"
"09:40:12 AM","1st 4:34","First Half","38","123.5","1.57","2.3","3","NCAA"
"09:40:33 AM","1st 4:31","First Half","38","123.5","1.57","2.3","3","NCAA"
"09:40:54 AM","1st 4:31","First Half","40","124.5","2.06","1.71","1.5","NCAA"
"09:41:16 AM","1st 4:31","First Half","40","124.5","2.06","1.71","1.5","NCAA"
"09:41:31 AM","1st 4:31","First Half","40","124.5","2.06","1.71","1.5","NCAA"
"09:41:54 AM","1st 4:02","First Half","40","124.5","2.06","1.71","1.5","NCAA"
"09:42:13 AM","1st 4:02","First Half","40","124.5","2.06","1.71","1.5","NCAA"
"09:42:35 AM","1st 4:02","First Half","40","124.5","2.06","1.71","1.5","NCAA"
"09:42:57 AM","1st 4:02","First Half","40","124.5","2.06","1.71","1.5","NCAA"
"09:43:13 AM","1st 4:02","First Half","40","124.5","2.06","1.71","1.5","NCAA"
"09:43:35 AM","1st 4:02","First Half","40","124","2.25","1.59","3.5","NCAA"
"09:43:50 AM","1st 4:02","First Half","40","124","2.25","1.59","3.5","NCAA"
"09:44:14 AM","1st 4:02","First Half","45","127.5","1.83","1.9","1","NCAA"
"09:44:31 AM","1st 4:02","First Half","45","127.5","1.83","1.9","1","NCAA"
"09:44:50 AM","1st 4:02","First Half","45","127.5","1.63","2.18","2","NCAA"
"09:45:12 AM","1st 3:31","First Half","45","127.5","1.63","2.18","2","NCAA"
"09:45:35 AM","1st 3:08","First Half","47","128","1.71","2.05","2","NCAA"
"09:45:51 AM","1st 3:08","First Half","47","128","1.71","2.05","2","NCAA"
"09:46:16 AM","1st 3:08","First Half","48","127","1.73","2.03","2","NCAA"
"09:46:31 AM","1st 3:08","First Half","48","127","1.73","2.03","2","NCAA"
"09:46:50 AM","1st 2:50","First Half","48","125","1.68","2.1","2.5","NCAA"
