"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"01:41:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:41:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:41:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:42:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:42:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:42:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:43:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:43:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:43:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:44:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:44:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:44:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:45:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:45:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:45:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:46:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:46:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:46:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:47:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:47:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:47:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:48:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:48:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:48:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:49:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:49:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:49:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:50:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:50:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:50:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:51:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:51:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:51:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:52:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:52:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:52:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:53:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:53:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:53:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:54:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:54:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:54:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:55:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:55:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:55:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:56:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:56:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:56:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:57:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:57:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:57:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"01:57:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
