"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:10:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:11:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:11:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:12:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:12:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:12:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:12:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:14:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:14:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:14:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:20:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:20:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:20:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:21:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:21:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:21:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:22:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:22:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:22:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:23:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:23:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:23:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:24:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:24:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:24:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:25:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:25:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:25:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:26:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:26:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:27:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:27:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:27:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:27:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:28:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:28:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:29:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:29:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:29:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:29:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:30:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:30:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:30:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:31:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:31:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:32:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:32:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:32:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:32:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:33:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:33:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:34:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:34:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:34:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
