"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"02:16:18 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:16:32 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:17:00 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:17:12 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:17:36 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:17:50 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:18:26 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:18:33 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:18:57 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:19:11 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:19:31 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:19:52 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:20:13 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:20:32 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:20:51 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:21:21 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:21:31 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:21:58 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:22:15 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:22:37 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:22:52 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:23:27 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:23:33 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:24:00 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:24:14 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:24:37 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:24:50 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:25:14 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:25:38 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:25:52 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:26:22 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:26:33 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:26:57 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:27:11 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:27:38 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:27:53 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:28:13 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:28:39 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:28:52 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:29:20 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:29:31 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:29:52 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:30:12 AM","Mar 17-1:45 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:30:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:30:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:31:22 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:31:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:32:00 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:32:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:32:41 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:32:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:33:24 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:33:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:33:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:34:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:34:44 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:34:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:35:20 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:35:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:36:00 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:36:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:36:40 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:36:57 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:37:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
