"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:19:18 AM","1st 13:55",NA,NA,"104.5","2.82","1.28","7.5","NCAA"
"07:19:37 AM","1st 13:55",NA,NA,"104.5","2.82","1.28","7.5","NCAA"
"07:20:01 AM","1st 13:15","First Half","7","118.5","3.32","1.3","7.5","NCAA"
"07:20:17 AM","1st 13:15","First Half","7","118.5","3.32","1.3","7.5","NCAA"
"07:20:38 AM","1st 13:15","First Half","7","116.5","3.32","1.3","7.5","NCAA"
"07:20:59 AM","1st 13:15","First Half","7","116.5","3.32","1.3","7.5","NCAA"
"07:21:25 AM","1st 12:59","First Half","13","117.5","3.45","1.28","7.5","NCAA"
"07:21:43 AM","1st 12:59","First Half","13","117.5","3.45","1.28","7.5","NCAA"
"07:22:02 AM","1st 12:59","First Half","13","117.5","3.8","1.25","8.5","NCAA"
"07:22:24 AM","1st 12:59","First Half","15","117.5","3.8","1.25","8.5","NCAA"
"07:22:35 AM","1st 12:59","First Half","15","117.5","3.8","1.25","8.5","NCAA"
"07:22:59 AM","1st 11:36","First Half","15","117.5","3.8","1.25","8.5","NCAA"
"07:23:15 AM","1st 11:36","First Half","15","117.5","3.8","1.25","8.5","NCAA"
"07:23:34 AM","1st 11:36","First Half","15","117.5","3.8","1.25","8.5","NCAA"
"07:23:58 AM","1st 11:36","First Half","15","117.5","3.8","1.25","8.5","NCAA"
"07:24:19 AM","1st 11:36","First Half","15","117.5","3.8","1.25","8.5","NCAA"
"07:24:43 AM","1st 11:36","First Half","15","116.5","4.65","1.17","11.5","NCAA"
"07:24:59 AM","1st 11:11","First Half","17","116.5","4.65","1.17","11.5","NCAA"
"07:25:20 AM","1st 11:11","First Half","17","117.5","3.7","1.25","7.5","NCAA"
"07:25:40 AM","1st 11:11","First Half","17","117.5","3.7","1.25","7.5","NCAA"
"07:25:53 AM","1st 10:54","First Half","17","119.5","4.25","1.2","9.5","NCAA"
"07:26:13 AM","1st 11:11","First Half","17","119.5","4.25","1.2","9.5","NCAA"
"07:26:39 AM","1st 10:54","First Half","21","121.5","5.4","1.13","10.5","NCAA"
"07:27:05 AM","1st 10:54","First Half","21","121.5","5.4","1.13","10.5","NCAA"
"07:27:18 AM","1st 10:54","First Half","21","123.5","5.4","1.13","10.5","NCAA"
"07:27:41 AM","1st 10:54","First Half","21","123.5","5.4","1.13","10.5","NCAA"
"07:27:57 AM","1st 10:54","First Half","26","127.5","5.2","1.14","10.5","NCAA"
"07:28:19 AM","1st 10:15","First Half","26","127.5","5.2","1.14","10.5","NCAA"
"07:28:36 AM","1st 10:15","First Half","26","126.5","5.2","1.14","10.5","NCAA"
"07:28:59 AM","1st 10:15","First Half","31","126.5","5.2","1.14","10.5","NCAA"
"07:29:22 AM","1st 10:15","First Half","31","126.5","5.4","1.13","11.5","NCAA"
"07:29:36 AM","1st 8:58","First Half","31","126.5","5.4","1.13","11.5","NCAA"
"07:29:56 AM","1st 8:58","First Half","31","126.5","5.2","1.14","11.5","NCAA"
"07:30:20 AM","1st 8:58","First Half","31","126.5","5.2","1.14","11.5","NCAA"
"07:30:45 AM","1st 8:58","First Half","35","129.5","5.2","1.14","10.5","NCAA"
"07:30:57 AM","1st 8:58","First Half","35","129.5","5.2","1.14","10.5","NCAA"
"07:31:24 AM","1st 8:58","First Half","35","128.5","5.2","1.14","10.5","NCAA"
"07:31:35 AM","1st 8:58","First Half","35","128.5","5.2","1.14","10.5","NCAA"
"07:32:00 AM","1st 8:58","First Half","35","126.5","4.65","1.17","10.5","NCAA"
"07:32:25 AM","1st 8:58","First Half","35","126.5","4.65","1.17","10.5","NCAA"
"07:32:46 AM","1st 7:29","First Half","35","125.5","4.65","1.17","9.5","NCAA"
"07:32:58 AM","1st 7:29","First Half","35","125.5","4.65","1.17","9.5","NCAA"
"07:33:18 AM","1st 7:29","First Half","35","122.5","5.2","1.14","9.5","NCAA"
"07:33:36 AM","1st 7:29","First Half","35","122.5","5.2","1.14","9.5","NCAA"
"07:33:58 AM","1st 7:25","First Half","35","125.5","4.65","1.17","9.5","NCAA"
"07:34:14 AM","1st 7:25","First Half","35","125.5","4.65","1.17","9.5","NCAA"
"07:34:34 AM","1st 7:25","First Half","35","125.5","4.65","1.17","9.5","NCAA"
"07:35:04 AM","1st 7:25","First Half","35","125.5","4.65","1.17","9.5","NCAA"
"07:35:16 AM","1st 7:25","First Half","35","123.5","5.2","1.14","9.5","NCAA"
"07:35:35 AM","1st 7:25","First Half","35","123.5","5.2","1.14","9.5","NCAA"
"07:35:57 AM","1st 6:57","First Half","36","126.5","6","1.11","11.5","NCAA"
"07:36:16 AM","1st 7:25","First Half","36","126.5","6","1.11","11.5","NCAA"
"07:36:40 AM","1st 6:57","First Half","36","127.5","6","1.11","11.5","NCAA"
"07:36:55 AM","1st 6:57","First Half","36","127.5","6","1.11","11.5","NCAA"
"07:37:15 AM","1st 6:57","First Half","38","127.5","7","1.07","12.5","NCAA"
"07:37:41 AM","1st 6:42","First Half","38","127.5","7","1.07","12.5","NCAA"
"07:38:00 AM","1st 6:42","First Half","38","125.5","7.5","1.06","12.5","NCAA"
"07:38:19 AM","1st 6:42","First Half","38","125.5","7.5","1.06","12.5","NCAA"
"07:38:42 AM","1st 6:42","First Half","40","125.5","9.5","1.04","12.5","NCAA"
"07:38:56 AM","1st 5:43","First Half","40","125.5","9.5","1.04","12.5","NCAA"
"07:39:18 AM","1st 5:43","First Half","40","123.5","8.5","1.05","12.5","NCAA"
"07:39:34 AM","1st 5:43","First Half","40","123.5","8.5","1.05","12.5","NCAA"
"07:39:58 AM","1st 5:43","First Half","40","125.5","6","1.11","10.5","NCAA"
"07:40:23 AM","1st 5:17","First Half","40","125.5","6","1.11","10.5","NCAA"
"07:40:35 AM",NA,"First Half","40","124.5","5.9","1.11","11.5","NCAA"
"07:41:00 AM","1st 4:42","First Half","40","124.5","5.9","1.11","11.5","NCAA"
"07:41:24 AM",NA,"First Half","43","126.5","6.5","1.08","11.5","NCAA"
"07:41:36 AM","1st 4:21","First Half","43","126.5","6.5","1.08","11.5","NCAA"
"07:41:55 AM","1st 4:21","First Half","43","124.5","7","1.07","11.5","NCAA"
"07:42:15 AM","1st 4:05","First Half","46","124.5","7","1.07","11.5","NCAA"
"07:42:42 AM","1st 4:05","First Half","46","128.5","4.65","1.17","11.5","NCAA"
"07:42:55 AM","1st 4:05","First Half","46","128.5","4.65","1.17","11.5","NCAA"
"07:43:19 AM","1st 4:05","First Half","46","125.5","5.9","1.11","10.5","NCAA"
"07:43:32 AM","1st 4:05","First Half","46","125.5","5.9","1.11","10.5","NCAA"
"07:43:55 AM","1st 4:05","First Half","47","125.5","5.9","1.11","10.5","NCAA"
"07:44:15 AM","1st 3:23","First Half","47","125.5","5.9","1.11","10.5","NCAA"
"07:44:32 AM","1st 3:23","First Half","47","125.5","5.9","1.11","10.5","NCAA"
"07:44:55 AM","1st 3:23","First Half","47","125.5","5.9","1.11","10.5","NCAA"
"07:45:15 AM","1st 3:23","First Half","47","125.5","5.9","1.11","10.5","NCAA"
"07:45:42 AM","1st 3:23","First Half","47","125.5","5.9","1.11","10.5","NCAA"
"07:46:00 AM","1st 3:23","First Half","47","125.5","5.4","1.13","10.5","NCAA"
"07:46:17 AM","1st 3:23","First Half","47","125.5","5.4","1.13","10.5","NCAA"
"07:46:38 AM","1st 3:23","First Half","49","125.5","4.6","1.17","8.5","NCAA"
"07:47:00 AM","1st 3:23","First Half","49","125.5","4.6","1.17","8.5","NCAA"
"07:47:21 AM","1st 3:23","First Half","49","124.5","4","1.22","9.5","NCAA"
"07:47:43 AM","1st 2:39","First Half","50","124.5","4","1.22","9.5","NCAA"
"07:48:06 AM","1st 2:39","First Half","50","124.5","5.4","1.13","10.5","NCAA"
"07:48:19 AM",NA,"First Half","50","124.5","5.4","1.13","10.5","NCAA"
"07:48:42 AM","1st 2:39","First Half","50","126.5","5.2","1.14","9.5","NCAA"
"07:49:01 AM","1st 2:39","First Half","50","126.5","5.2","1.14","9.5","NCAA"
"07:49:22 AM","1st 1:32","First Half","54","127.5","4","1.22","7.5","NCAA"
"07:49:37 AM","1st 1:32","First Half","54","127.5","4","1.22","7.5","NCAA"
"07:50:02 AM","1st 1:32","First Half","54","126.5","4.05","1.22","6.5","NCAA"
"07:50:23 AM","1st 1:32","First Half","54","126.5","4.05","1.22","6.5","NCAA"
"07:50:37 AM","1st 1:32","First Half","57","126.5","4.05","1.22","6.5","NCAA"
"07:50:56 AM","1st 0:30","First Half","57","126.5","4.05","1.22","6.5","NCAA"
"07:51:21 AM","1st 0:30","First Half","57","127.5","4.6","1.17","8.5","NCAA"
"07:51:41 AM","1st 0:30","First Half","57","127.5","4.6","1.17","8.5","NCAA"
"07:52:02 AM","1st 0:30","First Half","59","127.5","4.6","1.17","8.5","NCAA"
"07:52:16 AM","1st 0:30","First Half","59","127.5","4.6","1.17","8.5","NCAA"
"07:52:42 AM","1st 0:30","First Half","59","124.5","4.05","1.22","7.5","NCAA"
"07:52:57 AM","1st 0:30","First Half","59","124.5","4.05","1.22","7.5","NCAA"
"07:53:21 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:53:35 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:53:59 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:54:19 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:54:37 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:54:59 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:55:26 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:55:41 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:55:59 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:56:16 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:56:46 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:57:01 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:57:18 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:57:35 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:58:01 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:58:20 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:58:34 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:58:53 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:59:19 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:59:35 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"07:59:58 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:00:19 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:00:47 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:01:02 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:01:23 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:01:38 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:02:00 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:02:19 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:02:43 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:03:05 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:03:20 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:03:43 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:03:57 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:04:23 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:04:47 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:04:57 AM",NA,"First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:05:23 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:05:39 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:05:59 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:06:22 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:06:39 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:07:02 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:07:19 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:07:36 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:07:59 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:08:21 AM","Halftime","First Half","57","124.5","4.05","1.22","7.5","NCAA"
"08:08:42 AM","Halftime","First Half","57","125.5","3.32","1.3","6.5","NCAA"
"08:08:58 AM",NA,"First Half","57","125.5","3.32","1.3","6.5","NCAA"
"08:09:21 AM","Halftime","First Half","57","125.5","3.2","1.33","6.5","NCAA"
"08:09:41 AM","Halftime","Second Half","61","125.5","3.2","1.33","6.5","NCAA"
"08:10:04 AM","Halftime","Second Half","61","125.5","3.13","1.33","5.5","NCAA"
"08:10:29 AM","Halftime","Second Half","63","125.5","3.13","1.33","5.5","NCAA"
"08:10:39 AM","Halftime","Second Half","63","123.5","3.32","1.3","5.5","NCAA"
"08:11:04 AM","2nd 18:28","Second Half","63","123.5","3.32","1.3","5.5","NCAA"
"08:11:20 AM","2nd 18:28","Second Half","63","121.5","3.7","1.25","7.5","NCAA"
"08:11:41 AM","2nd 18:28","Second Half","63","121.5","3.7","1.25","7.5","NCAA"
"08:11:56 AM","2nd 18:28","Second Half","63","124.5","3.9","1.23","6.5","NCAA"
"08:12:18 AM","2nd 18:28","Second Half","65","124.5","3.9","1.23","6.5","NCAA"
"08:12:42 AM","2nd 18:28","Second Half","65","122.5","3.96","1.22","6.5","NCAA"
"08:13:04 AM","2nd 16:54","Second Half","65","122.5","3.96","1.22","6.5","NCAA"
"08:13:17 AM","2nd 16:07","Second Half","69","123.5","3.26","1.31","5.5","NCAA"
"08:13:41 AM","2nd 16:07","Second Half","69","123.5","3.26","1.31","5.5","NCAA"
"08:14:01 AM","2nd 16:07","Second Half","69","121.5","4","1.22","6.5","NCAA"
"08:14:24 AM","2nd 16:07","Second Half","69","121.5","4","1.22","6.5","NCAA"
"08:14:36 AM",NA,"Second Half","69","122.5","4.65","1.17","7.5","NCAA"
"08:15:00 AM","2nd 16:07","Second Half","73","122.5","4.65","1.17","7.5","NCAA"
"08:15:17 AM","2nd 14:36","Second Half","73","120.5","4.25","1.2","7.5","NCAA"
"08:15:48 AM","2nd 14:36","Second Half","73","120.5","4.25","1.2","7.5","NCAA"
"08:16:03 AM","2nd 14:36","Second Half","77","119.5","5.2","1.14","7.5","NCAA"
"08:16:23 AM","2nd 13:40","Second Half","77","119.5","5.2","1.14","7.5","NCAA"
"08:16:39 AM","2nd 13:40","Second Half","77","119.5","5.2","1.14","7.5","NCAA"
"08:17:03 AM","2nd 13:40","Second Half","77","119.5","5.2","1.14","7.5","NCAA"
"08:17:20 AM","2nd 13:40","Second Half","77","119.5","5.2","1.14","7.5","NCAA"
"08:17:39 AM","2nd 13:40","Second Half","77","119.5","5.2","1.14","7.5","NCAA"
"08:17:57 AM","2nd 13:40","Second Half","77","119.5","5.2","1.14","7.5","NCAA"
"08:18:26 AM","2nd 13:18","Second Half","77","119.5","5.2","1.14","7.5","NCAA"
"08:18:42 AM","2nd 13:18","Second Half","77","123.5","5.2","1.14","7.5","NCAA"
"08:18:59 AM","2nd 13:18","Second Half","78","123.5","5.2","1.14","7.5","NCAA"
"08:19:15 AM","2nd 13:18","Second Half","78","123.5","5.2","1.14","7.5","NCAA"
"08:19:36 AM","2nd 13:18","Second Half","78","123.5","5.2","1.14","7.5","NCAA"
"08:20:01 AM","2nd 12:58","Second Half","78","123.5","3.45","1.28","5.5","NCAA"
"08:20:16 AM","2nd 12:58","Second Half","82","123.5","3.45","1.28","5.5","NCAA"
"08:20:42 AM","2nd 12:58","Second Half","82","126.5","3.32","1.3","5.5","NCAA"
"08:21:04 AM","2nd 12:58","Second Half","82","126.5","3.32","1.3","5.5","NCAA"
"08:21:20 AM","2nd 12:58","Second Half","82","125.5","3.69","1.25","5.5","NCAA"
"08:21:37 AM","2nd 12:58","Second Half","90","125.5","3.69","1.25","5.5","NCAA"
"08:22:06 AM","2nd 12:58","Second Half","90","126.5","3.7","1.25","5.5","NCAA"
"08:22:20 AM","2nd 11:20","Second Half","90","126.5","3.7","1.25","5.5","NCAA"
"08:22:47 AM","2nd 11:20","Second Half","90","126.5","3.7","1.25","5.5","NCAA"
"08:22:59 AM","2nd 11:20","Second Half","90","126.5","3.7","1.25","5.5","NCAA"
"08:23:20 AM","2nd 11:20","Second Half","90","126.5","3.7","1.25","5.5","NCAA"
"08:23:39 AM","2nd 11:20","Second Half","90","126.5","3.7","1.25","5.5","NCAA"
"08:24:00 AM","2nd 11:20","Second Half","90","126.5","5.2","1.14","6.5","NCAA"
"08:24:20 AM","2nd 10:54","Second Half","92","126.5","5.2","1.14","6.5","NCAA"
"08:24:40 AM","2nd 10:54","Second Half","92","124.5","5.2","1.14","6.5","NCAA"
"08:24:59 AM","2nd 10:29","Second Half","92","124.5","5.2","1.14","6.5","NCAA"
"08:25:21 AM","2nd 10:29","Second Half","92","125.5","6","1.11","7.5","NCAA"
"08:25:40 AM","2nd 9:38","Second Half","94","125.5","6","1.11","7.5","NCAA"
"08:26:00 AM","2nd 9:38","Second Half","94","125.5","4","1.22","6.5","NCAA"
"08:26:18 AM",NA,"Second Half","94","125.5","4","1.22","6.5","NCAA"
"08:26:36 AM",NA,"Second Half","99","126.5","5.4","1.13","6.5","NCAA"
"08:26:58 AM",NA,"Second Half","99","126.5","5.4","1.13","6.5","NCAA"
"08:27:20 AM","2nd 9:38","Second Half","99","129.5","4.6","1.17","5.5","NCAA"
"08:27:48 AM","2nd 9:38","Second Half","99","129.5","4.6","1.17","5.5","NCAA"
"08:28:03 AM","2nd 8:26","Second Half","101","127.5","3.96","1.22","5.5","NCAA"
"08:28:22 AM","2nd 8:26","Second Half","101","127.5","3.96","1.22","5.5","NCAA"
"08:28:42 AM","2nd 8:26","Second Half","101","126.5","3.7","1.25","5.5","NCAA"
"08:29:05 AM","2nd 8:26","Second Half","101","126.5","3.7","1.25","5.5","NCAA"
"08:29:21 AM","2nd 7:41","Second Half","101","126.5","3.7","1.25","5.5","NCAA"
"08:29:44 AM","2nd 7:41","Second Half","101","126.5","3.7","1.25","5.5","NCAA"
"08:30:03 AM","2nd 7:41","Second Half","101","126.5","3.7","1.25","5.5","NCAA"
"08:30:25 AM","2nd 7:41","Second Half","101","126.5","3.7","1.25","5.5","NCAA"
"08:30:51 AM","2nd 7:41","Second Half","101","126.5","4.5","1.17","5.5","NCAA"
