"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:25:53","1st 9:31","First Half","28","129.5","2.3","1.58","3.5","NCAA"
"08:26:04","1st 9:31","First Half","28","129.5","2.3","1.58","3.5","NCAA"
"08:26:19","1st 9:31","First Half","28","127.5","2.36","1.54","3.5","NCAA"
"08:26:38","1st 9:31","First Half","28","127.5","2.36","1.54","3.5","NCAA"
"08:31:44","1st 7:49","First Half","30","127.5","2.63","1.45","3.5","NCAA"
"08:32:22","1st 7:49","First Half","30","125.5","2.89","1.38","5.5","NCAA"
"08:32:41","1st 7:49","First Half","32","125.5","2.89","1.38","5.5","NCAA"
"08:32:59","1st 7:49","First Half","32","126.5","2.53","1.48","4.5","NCAA"
"08:33:15","1st 7:49","First Half","32","126.5","2.53","1.48","4.5","NCAA"
"08:33:29","1st 6:52","First Half","32","126.5","2.53","1.48","4.5","NCAA"
"08:37:24","1st 5:13","First Half","39","126.5","2.07","1.7","2.5","NCAA"
"08:37:34","1st 5:13","First Half","39","126.5","2.07","1.7","2.5","NCAA"
"08:37:52","1st 4:40","First Half","40","126.5","2.07","1.7","2.5","NCAA"
"08:38:04","1st 4:40","First Half","40","127.5","2.72","1.42","4.5","NCAA"
"08:42:46","1st 2:51","First Half","47","128.5","2.42","1.52","3.5","NCAA"
"08:43:23","1st 2:51","First Half","49","128.5","2.56","1.47","4.5","NCAA"
"08:43:36","1st 2:51","First Half","49","128.5","2.56","1.47","4.5","NCAA"
"08:43:52","1st 2:51","First Half","49","125.5","2.42","1.52","3.5","NCAA"
"08:51:42","Halftime","First Half","54","125.5","2.73","1.42","4.5","NCAA"
"08:55:34","Halftime","Second Half","53","124.5","2.98","1.36","5.5","NCAA"
"09:01:32","Halftime","Second Half","53","124.5","2.98","1.36","5.5","NCAA"
"09:02:26","Halftime","Second Half","53","123.5","3.26","1.31","5.5","NCAA"
"09:03:04","2nd 20:00","Second Half","53","124.5","2.98","1.36","5.5","NCAA"
"09:03:42","2nd 20:00","Second Half","53","124.5","2.98","1.36","5.5","NCAA"
"09:04:47","2nd 20:00","Second Half","53","124.5","3.96","1.22","6.5","NCAA"
"09:08:00","2nd 17:57","Second Half","61","125.5","4.25","1.2","8.5","NCAA"
"09:09:08","2nd 16:25","Second Half","65","121.5","3.32","1.28","5.5","NCAA"
