"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:10:30 AM","1st 18:18","First Half","0","142.5","1.15","5","10.5","NCAA"
"07:10:48 AM","1st 18:18","First Half","0","142.5","1.15","5","10.5","NCAA"
"07:11:09 AM","1st 17:33","First Half","0","145.5","1.14","5.2","11.5","NCAA"
"07:11:27 AM","1st 17:33","First Half","9","145.5","1.14","5.2","11.5","NCAA"
"07:11:50 AM","1st 17:33","First Half","9","144.5","1.14","5.2","11.5","NCAA"
"07:12:13 AM","1st 17:33","First Half","9","144.5","1.14","5.2","11.5","NCAA"
"07:12:28 AM","1st 17:33","First Half","9","144.5","1.14","5.2","11.5","NCAA"
"07:12:50 AM","1st 17:09","First Half","11","144.5","1.14","5.2","11.5","NCAA"
"07:13:07 AM","1st 17:09","First Half","11","144.5","1.14","5.2","11.5","NCAA"
"07:13:30 AM","1st 17:07","First Half","11","144.5","1.14","5.2","11.5","NCAA"
"07:13:48 AM","1st 17:07","First Half","13","143.5","1.17","4.6","9.5","NCAA"
"07:14:09 AM","1st 17:07","First Half","13","143.5","1.17","4.6","9.5","NCAA"
"07:14:27 AM","1st 17:07","First Half","13","147.5","1.17","4.65","11.5","NCAA"
"07:14:46 AM","1st 16:24","First Half","13","147.5","1.17","4.65","11.5","NCAA"
"07:15:12 AM","1st 16:24","First Half","19","142.5","1.13","5.4","11.5","NCAA"
"07:15:27 AM","1st 15:29","First Half","19","142.5","1.13","5.4","11.5","NCAA"
"07:15:47 AM","1st 15:29","First Half","19","145.5","1.11","6","11.5","NCAA"
"07:16:12 AM","1st 14:40","First Half","19","145.5","1.11","6","11.5","NCAA"
"07:16:28 AM","1st 14:40","First Half","19","145.5","1.11","6","11.5","NCAA"
"07:16:48 AM","1st 14:40","First Half","19","145.5","1.11","6","11.5","NCAA"
"07:17:13 AM","1st 14:40","First Half","19","145.5","1.11","6","11.5","NCAA"
"07:17:26 AM","1st 14:40","First Half","19","145.5","1.11","6","11.5","NCAA"
"07:17:47 AM","1st 14:40","First Half","19","145.5","1.11","6","11.5","NCAA"
"07:18:07 AM","1st 14:40","First Half","19","145.5","1.11","6","11.5","NCAA"
"07:18:27 AM","1st 14:40","First Half","19","146.5","1.11","6","12.5","NCAA"
"07:18:47 AM","1st 14:40","First Half","19","146.5","1.11","6","12.5","NCAA"
"07:19:06 AM","1st 14:40","First Half","19","149.5","1.14","5.2","10.5","NCAA"
"07:19:29 AM","1st 14:40","First Half","24","149.5","1.14","5.2","10.5","NCAA"
"07:19:47 AM","1st 14:40","First Half","24","151.5","1.13","5.4","11.5","NCAA"
"07:20:11 AM","1st 14:40","First Half","24","151.5","1.13","5.4","11.5","NCAA"
"07:20:30 AM","1st 14:40","First Half","34","154.5","1.2","4.25","9.5","NCAA"
"07:20:56 AM","1st 14:40","First Half","34","154.5","1.2","4.25","9.5","NCAA"
"07:21:07 AM","1st 13:35","First Half","34","153.5","1.17","4.65","9.5","NCAA"
"07:21:28 AM","1st 13:14","First Half","34","153.5","1.17","4.65","9.5","NCAA"
"07:21:46 AM","1st 12:55","First Half","34","148.5","1.13","5.4","9.5","NCAA"
"07:22:07 AM","1st 12:55","First Half","34","148.5","1.13","5.4","9.5","NCAA"
"07:22:29 AM","1st 12:23","First Half","34","150.5","1.17","4.65","9.5","NCAA"
"07:22:53 AM","1st 12:23","First Half","34","150.5","1.17","4.65","9.5","NCAA"
"07:23:08 AM","1st 12:23","First Half","34","150.5","1.17","4.65","9.5","NCAA"
"07:23:27 AM","1st 12:23","First Half","34","150.5","1.17","4.65","9.5","NCAA"
"07:23:47 AM","1st 11:28","First Half","34","150.5","1.17","4.65","9.5","NCAA"
"07:24:09 AM","1st 11:28","First Half","34","150.5","1.17","4.65","9.5","NCAA"
"07:24:31 AM","1st 11:28","First Half","34","150.5","1.17","4.65","9.5","NCAA"
"07:24:53 AM","1st 11:28","First Half","34","150.5","1.17","4.65","9.5","NCAA"
"07:25:28 AM","1st 11:28","First Half","34","150.5","1.17","4.65","9.5","NCAA"
"07:25:50 AM","1st 11:28","First Half","34","153.5","1.22","4","8.5","NCAA"
"07:26:09 AM","1st 11:28","First Half","36","153.5","1.22","4","8.5","NCAA"
"07:26:31 AM","1st 11:28","First Half","36","153.5","1.22","4","8.5","NCAA"
"07:26:51 AM","1st 11:28","First Half","36","153.5","1.22","4","8.5","NCAA"
"07:27:09 AM","1st 11:28","First Half","37","154.5","1.3","3.32","6.5","NCAA"
"07:28:10 AM","1st 11:18","First Half","37","154.5","1.41","2.76","5.5","NCAA"
"07:28:27 AM","1st 11:18","First Half","37","154.5","1.41","2.76","5.5","NCAA"
"07:28:51 AM","1st 10:53","First Half","39","156.5","1.25","3.7","7.5","NCAA"
"07:29:06 AM","1st 10:53","First Half","39","156.5","1.25","3.7","7.5","NCAA"
"07:29:30 AM","1st 10:42","First Half","39","152.5","1.22","4","7.5","NCAA"
"07:29:47 AM","1st 10:53","First Half","41","152.5","1.22","4","7.5","NCAA"
"07:30:09 AM","1st 10:31","First Half","41","154.5","1.2","4.25","8.5","NCAA"
"07:30:29 AM","1st 9:40","First Half","41","154.5","1.2","4.25","8.5","NCAA"
"07:30:47 AM","1st 9:40","First Half","41","154.5","1.17","4.65","9.5","NCAA"
"07:31:10 AM","1st 9:17","First Half","41","154.5","1.17","4.65","9.5","NCAA"
"07:31:29 AM","1st 9:05","First Half","45","153.5","1.13","5.4","10.5","NCAA"
"07:31:50 AM","1st 9:05","First Half","45","153.5","1.13","5.4","10.5","NCAA"
