"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:03:11 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:03:29 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:03:49 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:04:07 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:04:27 AM",NA,"First Half","0","165.5","34","1.002","23","NCAA"
"08:04:47 AM",NA,"First Half","0","165.5","34","1.002","23","NCAA"
"08:05:08 AM",NA,"First Half","0","165.5","34","1.002","23","NCAA"
"08:05:27 AM",NA,"First Half","0","165.5","34","1.002","23","NCAA"
"08:05:49 AM",NA,"First Half","0","168.5","41","1.002","25","NCAA"
"08:06:11 AM",NA,"First Half","0","168.5","41","1.002","25","NCAA"
"08:06:28 AM",NA,"First Half","3","168.5","41","1.002","25","NCAA"
"08:06:47 AM",NA,"First Half","3","168.5","41","1.002","25","NCAA"
"08:07:10 AM",NA,"First Half","3","168.5","41","1.002","25","NCAA"
"08:07:33 AM",NA,"First Half","3","168.5","41","1.002","25","NCAA"
"08:07:50 AM",NA,"First Half","5","168.5","101","1.86","24","NCAA"
"08:08:07 AM",NA,"First Half","5","168.5","101","1.86","24","NCAA"
"08:08:29 AM",NA,"First Half","7","168.5","34","1.002","24.5","NCAA"
"08:08:51 AM",NA,"First Half","7","168.5","34","1.002","24.5","NCAA"
"08:09:08 AM",NA,"First Half","7","165.5","41","1.002","24","NCAA"
"08:09:26 AM",NA,"First Half","7","165.5","41","1.002","24","NCAA"
"08:09:46 AM",NA,"First Half","7","164.5","101","1.86","25","NCAA"
"08:10:09 AM",NA,"First Half","9","164.5","101","1.86","25","NCAA"
"08:10:29 AM",NA,"First Half","11","163.5","41","1.002","26","NCAA"
"08:10:46 AM",NA,"First Half","11","163.5","41","1.002","26","NCAA"
"08:11:10 AM",NA,"First Half","11","164.5","67","1.85","25.5","NCAA"
"08:11:29 AM",NA,"First Half","13","164.5","67","1.85","25.5","NCAA"
"08:11:51 AM",NA,"First Half","13","164.5","67","1.85","25.5","NCAA"
"08:12:09 AM",NA,"First Half","13","164.5","67","1.85","25.5","NCAA"
"08:12:27 AM",NA,"First Half","13","164.5","67","1.85","25.5","NCAA"
"08:12:51 AM",NA,"First Half","13","164.5","67","1.85","25.5","NCAA"
"08:13:08 AM",NA,"First Half","13","164.5","67","1.85","25.5","NCAA"
"08:13:27 AM",NA,"First Half","13","164.5","67","1.85","25.5","NCAA"
"08:13:48 AM",NA,"First Half","13","164.5","67","1.85","25.5","NCAA"
"08:14:07 AM",NA,"First Half","13","164.5","67","1.85","25.5","NCAA"
"08:14:31 AM",NA,"First Half","13","164.5","67","1.85","25.5","NCAA"
"08:14:50 AM",NA,"First Half","13","164.5","67","1.85","25.5","NCAA"
"08:15:10 AM",NA,"First Half","18","168.5","101","1.89","28.5","NCAA"
"08:15:27 AM",NA,"First Half","18","168.5","101","1.89","28.5","NCAA"
"08:15:50 AM",NA,"First Half","18","167.5","67","1.89","28","NCAA"
"08:16:07 AM",NA,"First Half","18","167.5","67","1.89","28","NCAA"
"08:16:27 AM",NA,"First Half","18","167.5","67","1.89","28","NCAA"
"08:16:50 AM",NA,"First Half","18","167.5","67","1.89","28","NCAA"
"08:17:09 AM",NA,"First Half","18","167.5","67","1.89","28","NCAA"
"08:17:29 AM",NA,"First Half","18","167.5","67","1.89","28","NCAA"
"08:17:50 AM",NA,"First Half","20","167.5","101","1.88","29.5","NCAA"
"08:18:08 AM",NA,"First Half","20","167.5","101","1.88","29.5","NCAA"
"08:18:31 AM",NA,"First Half","22","168.5",NA,NA,"31.5","NCAA"
"08:18:47 AM",NA,"First Half","22","168.5",NA,NA,"31.5","NCAA"
"08:19:08 AM",NA,"First Half","22","167.5","101","1.88","30","NCAA"
"08:19:29 AM",NA,"First Half","27","167.5","101","1.88","30","NCAA"
"08:19:48 AM",NA,"First Half","27","168.5","67","1.87","25.5","NCAA"
"08:20:08 AM",NA,"First Half","27","168.5","67","1.87","25.5","NCAA"
"08:20:30 AM",NA,"First Half","27","168.5","67","1.87","25.5","NCAA"
"08:20:53 AM",NA,"First Half","27","168.5","67","1.87","25.5","NCAA"
"08:21:08 AM",NA,"First Half","27","163.5","101","1.87","26.5","NCAA"
"08:21:27 AM",NA,"First Half","27","161.5","101","1.87","26","NCAA"
"08:21:50 AM",NA,"First Half","27","161.5","101","1.87","26","NCAA"
"08:22:07 AM",NA,"First Half","27","161.5","101","1.87","26","NCAA"
"08:22:28 AM",NA,"First Half","27","161.5","101","1.87","26","NCAA"
"08:22:54 AM",NA,"First Half","27","161.5","101","1.87","26","NCAA"
"08:23:11 AM",NA,"First Half","27","161.5","101","1.87","26","NCAA"
"08:23:30 AM",NA,"First Half","27","161.5","101","1.87","26","NCAA"
"08:23:52 AM",NA,"First Half","27","161.5","101","1.87","26","NCAA"
"08:24:10 AM",NA,"First Half","27","161.5","101","1.87","26","NCAA"
"08:24:28 AM",NA,"First Half","27","161.5","101","1.87","26","NCAA"
"08:24:48 AM",NA,"First Half","31","165.5","67","1.84","25.5","NCAA"
"08:25:09 AM",NA,"First Half","31","165.5","67","1.84","25.5","NCAA"
"08:25:27 AM",NA,"First Half","31","163.5","67","1.86","25.5","NCAA"
"08:25:47 AM",NA,"First Half","31","163.5","67","1.86","25.5","NCAA"
"08:26:12 AM",NA,"First Half","31","163.5","67","1.86","25.5","NCAA"
"08:26:30 AM",NA,"First Half","31","163.5","67","1.86","25.5","NCAA"
"08:26:52 AM",NA,"First Half","31","160.5","81","1.83","26.5","NCAA"
"08:27:07 AM",NA,"First Half","33","160.5","81","1.83","26.5","NCAA"
"08:27:27 AM",NA,"First Half","33","160.5","81","1.89","26.5","NCAA"
"08:27:49 AM",NA,"First Half","33","160.5","81","1.89","26.5","NCAA"
"08:28:07 AM",NA,"First Half","35","163.5","101","1.89","25","NCAA"
"08:28:26 AM",NA,"First Half","35","163.5","101","1.89","25","NCAA"
"08:28:47 AM",NA,"First Half","35","165.5","101","1.85","25","NCAA"
"08:29:10 AM",NA,"First Half","38","165.5","101","1.85","25","NCAA"
"08:29:28 AM",NA,"First Half","38","160.5","81","1.87","23","NCAA"
"08:29:50 AM",NA,"First Half","38","160.5","81","1.87","23","NCAA"
"08:30:08 AM",NA,"First Half","40","161.5","51","1.002","22.5","NCAA"
"08:30:26 AM",NA,"First Half","40","161.5","51","1.002","22.5","NCAA"
"08:30:50 AM",NA,"First Half","40","158.5","41","1.002","22","NCAA"
"08:31:08 AM",NA,"First Half","40","158.5","41","1.002","22","NCAA"
"08:31:28 AM",NA,"First Half","42","158.5","81","1.83","23.5","NCAA"
"08:31:50 AM",NA,"First Half","42","158.5","81","1.83","23.5","NCAA"
"08:32:09 AM",NA,"First Half","42","153.5",NA,NA,"22","NCAA"
"08:32:27 AM",NA,"First Half","42","153.5",NA,NA,"22","NCAA"
"08:32:50 AM",NA,"First Half","42","155.5","41","1.002","21","NCAA"
"08:33:13 AM",NA,"First Half","45","155.5","41","1.002","21","NCAA"
"08:33:29 AM",NA,"First Half","45","163.5","67","1.87","22","NCAA"
"08:33:50 AM",NA,"First Half","45","163.5","67","1.87","22","NCAA"
"08:34:07 AM",NA,"First Half","45","157.5","34","1.002","20","NCAA"
"08:34:30 AM",NA,"First Half","45","157.5","34","1.002","20","NCAA"
"08:34:48 AM",NA,"First Half","45","161.5","81","1.85","23","NCAA"
"08:35:08 AM",NA,"First Half","48","161.5","81","1.85","23","NCAA"
"08:35:30 AM",NA,"First Half","48","163.5","67","1.86","22","NCAA"
"08:35:48 AM",NA,"First Half","50","163.5","67","1.86","22","NCAA"
"08:36:11 AM",NA,"First Half","50","163.5","67","1.87","22","NCAA"
"08:36:30 AM",NA,"First Half","50","163.5","67","1.87","22","NCAA"
"08:36:54 AM",NA,"First Half","53","164.5","101","1.84","22.5","NCAA"
"08:37:08 AM",NA,"First Half","53","164.5","101","1.84","22.5","NCAA"
"08:37:31 AM",NA,"First Half","55","163.5","81","1.89","22","NCAA"
"08:37:47 AM",NA,"First Half","55","163.5","81","1.89","22","NCAA"
"08:38:09 AM",NA,"First Half","55","164.5","101","1.89","22.5","NCAA"
"08:38:29 AM",NA,"First Half","57","164.5","101","1.89","22.5","NCAA"
"08:38:48 AM",NA,"First Half","57","165.5","81","1.84","21.5","NCAA"
"08:39:07 AM",NA,"First Half","59","165.5","81","1.84","21.5","NCAA"
"08:39:27 AM",NA,"First Half","59","163.5","67","1.87","21.5","NCAA"
"08:39:51 AM",NA,"First Half","59","163.5","67","1.87","21.5","NCAA"
"08:40:09 AM",NA,"First Half","59","163.5","67","1.86","21.5","NCAA"
"08:40:28 AM",NA,"First Half","63","163.5","67","1.86","21.5","NCAA"
"08:40:48 AM",NA,"First Half","63","167.5","41","1.002","22","NCAA"
"08:41:08 AM",NA,"First Half","63","167.5","41","1.002","22","NCAA"
"08:41:30 AM",NA,"First Half","63","167.5","67","1.88","22","NCAA"
"08:41:46 AM",NA,"First Half","63","167.5","67","1.88","22","NCAA"
"08:42:08 AM",NA,"First Half","66","168.5","81","1.83","22","NCAA"
"08:42:28 AM",NA,"First Half","66","168.5","81","1.83","22","NCAA"
"08:42:52 AM",NA,"First Half","66","168.5","81","1.83","22","NCAA"
"08:43:08 AM",NA,"First Half","66","168.5","81","1.83","22","NCAA"
"08:43:31 AM",NA,"First Half","66","168.5","81","1.83","22","NCAA"
"08:43:51 AM",NA,"First Half","66","168.5","81","1.83","22","NCAA"
"08:44:06 AM",NA,"First Half","66","168.5","81","1.83","22","NCAA"
"08:44:28 AM",NA,"First Half","66","168.5","81","1.83","22","NCAA"
"08:44:50 AM",NA,"First Half","66","168.5","81","1.83","22","NCAA"
"08:45:07 AM",NA,"First Half","66","168.5","81","1.83","22","NCAA"
"08:45:28 AM",NA,"First Half","66","168.5","81","1.83","22","NCAA"
"08:45:52 AM",NA,"First Half","66","168.5","81","1.83","22","NCAA"
"08:46:32 AM",NA,"First Half","68","162.5","101","1.84","23","NCAA"
"08:46:33 AM",NA,"First Half","68","162.5","101","1.84","23","NCAA"
"08:46:48 AM",NA,"First Half","68","162.5","101","1.84","23","NCAA"
"08:47:12 AM",NA,"First Half","68","160.5","67","1.87","23.5","NCAA"
"08:47:28 AM",NA,"First Half","68","160.5","67","1.87","23.5","NCAA"
"08:47:53 AM",NA,"First Half","68","160.5","67","1.87","23.5","NCAA"
"08:48:08 AM",NA,"First Half","68","160.5","67","1.87","23.5","NCAA"
"08:48:30 AM",NA,"First Half","68","160.5","67","1.87","23.5","NCAA"
"08:48:50 AM",NA,"First Half","70","160.5","67","1.87","23.5","NCAA"
"08:49:08 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:49:32 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:49:48 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:50:12 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:50:27 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:50:48 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:51:07 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:51:27 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:51:48 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:52:10 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:52:28 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:52:50 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:53:07 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:53:30 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:53:48 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:54:15 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:54:28 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:54:50 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:55:09 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:55:31 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:55:52 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:56:09 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:56:28 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:56:48 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:57:12 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:57:29 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:57:51 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:58:07 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:58:30 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:58:46 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:59:12 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:59:31 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"08:59:49 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"09:00:09 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"09:00:33 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"09:00:47 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"09:01:10 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"09:01:30 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"09:01:50 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"09:02:07 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"09:02:31 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"09:02:49 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"09:03:07 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"09:03:30 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
"09:03:46 AM",NA,"First Half","70","158.5","126","1.87","25","NCAA"
