"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:41:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
