"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:10:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:29 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:18:47 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:19:12 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:19:32 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:19:51 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:20:08 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:20:28 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:20:48 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:21:08 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:21:28 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:21:51 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:22:08 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:22:27 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:22:49 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:23:07 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:23:29 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:23:52 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:24:15 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:24:31 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:24:47 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:25:15 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:25:28 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:25:48 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:26:19 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:26:27 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:26:47 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:27:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:27:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:27:50 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"11:28:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:28:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:28:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:29:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:29:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:29:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:30:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:30:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:30:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:31:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:31:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:31:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:32:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:32:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
