"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:10:26 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:10:41 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:10:58 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:11:18 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:11:39 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:11:59 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:12:23 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:12:42 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:13:04 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:13:23 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:13:40 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:14:03 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:14:24 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:14:44 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:14:59 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:15:26 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:15:48 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:16:02 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:16:30 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:16:41 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:16:58 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:17:26 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:17:38 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:17:59 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:18:19 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:18:44 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:19:00 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:19:20 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:19:40 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:20:03 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:20:21 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:20:43 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:20:59 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:21:17 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:21:41 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:21:58 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:22:33 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:22:44 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:22:59 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:23:20 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:23:37 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:24:00 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:24:19 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:24:37 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:24:59 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:25:23 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:25:39 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:26:01 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:26:18 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:26:40 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:27:00 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:27:30 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:27:40 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:27:58 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:28:33 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:28:42 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:28:57 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:29:18 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:29:41 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:30:03 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:30:23 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:30:42 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:31:11 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:31:25 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:31:41 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:32:03 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:32:19 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:32:42 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:32:59 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:33:17 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:33:39 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:33:59 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:34:23 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:34:40 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:34:57 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:35:21 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:35:38 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:36:00 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:36:30 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:36:41 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:36:58 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:37:31 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:37:41 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:38:00 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:38:28 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:38:37 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:38:56 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:39:28 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:39:38 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:39:58 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:40:21 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"10:40:37 AM","Trail Blazers",NA,NA,"222.5","1.15","5","10","NBA"
"10:41:01 AM","Trail Blazers",NA,NA,"222.5","1.15","5","10","NBA"
"10:41:17 AM","11:38 1st",NA,NA,"222.5","1.15","5","10","NBA"
"10:41:38 AM","11:38 1st",NA,NA,"222.5","1.15","5","10","NBA"
"10:41:55 AM","11:19 1st","Q1","2","224.5","1.13","5.5","11","NBA"
"10:42:19 AM","11:15 1st","Q1","4","224.5","1.13","5.5","11","NBA"
"10:42:39 AM","10:45 1st","Q1","4","224.5","1.12","5.7","11","NBA"
"10:42:57 AM","10:28 1st","Q1","4","224.5","1.12","5.7","11","NBA"
"10:43:20 AM","10:01 1st","Q1","9","227.5","1.09","6.5","12","NBA"
"10:43:43 AM","10:01 1st","Q1","9","227.5","1.09","6.5","12","NBA"
"10:43:59 AM","9:21 1st","Q1","9","224.5","1.1","6.25","12","NBA"
"10:44:18 AM","9:21 1st","Q1","11","224.5","1.09","6.75","12","NBA"
"10:44:38 AM","9:38 1st","Q1","11","224.5","1.09","6.75","12","NBA"
"10:45:00 AM","8:46 1st","Q1","13","223.5","1.09","6.5","12","NBA"
"10:45:19 AM","8:46 1st","Q1","13","218.5","1.09","6.75","12","NBA"
"10:45:40 AM","8:46 1st","Q1","13","218.5","1.09","6.75","12","NBA"
"10:45:59 AM","8:46 1st","Q1","13","220.5","1.09","6.75","13","NBA"
"10:46:22 AM","8:46 1st","Q1","13","220.5","1.09","6.75","13","NBA"
"10:46:39 AM","8:46 1st","Q1","13","219.5","1.09","6.75","13","NBA"
"10:46:59 AM","8:46 1st","Q1","13","219.5","1.09","6.75","13","NBA"
"10:47:17 AM","8:46 1st","Q1","13","217.5","1.06","8","14","NBA"
"10:47:38 AM","8:22 1st","Q1","13","217.5","1.06","8","14","NBA"
"10:47:58 AM","8:46 1st","Q1","15","219.5","1.07","7.5","13","NBA"
"10:48:26 AM","8:22 1st","Q1","15","219.5","1.07","7.5","13","NBA"
"10:48:40 AM","8:46 1st","Q1","15","219.5","1.07","7.5","13","NBA"
"10:49:00 AM","7:38 1st","Q1","20","221.5","1.05","9","14","NBA"
"10:49:16 AM","7:15 1st","Q1","20","221.5","1.05","9","14","NBA"
"10:49:39 AM","7:07 1st","Q1","20","219.5","1.05","9","14","NBA"
"10:49:59 AM","7:07 1st","Q1","20","218.5","1.06","8","14","NBA"
"10:50:32 AM","6:50 1st","Q1","22","220.5","1.06","8","14","NBA"
"10:50:40 AM","6:31 1st","Q1","23","220.5","1.06","8","14","NBA"
"10:50:58 AM","6:50 1st","Q1","23","220.5","1.06","8","14","NBA"
"10:51:15 AM","6:20 1st","Q1","25","220.5","1.09","6.75","12","NBA"
"10:51:38 AM","6:50 1st","Q1","25","220.5","1.09","6.75","12","NBA"
"10:51:56 AM","5:57 1st","Q1","25","218.5","1.09","6.75","12","NBA"
"10:52:21 AM","6:20 1st","Q1","25","218.5","1.09","6.75","12","NBA"
"10:52:43 AM","5:57 1st","Q1","29","219.5","1.05","9","15","NBA"
"10:53:00 AM","6:03 1st","Q1","29","220.5","1.05","9","14","NBA"
"10:53:16 AM","5:24 1st","Q1","30","220.5","1.05","9","14","NBA"
