"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:11:10 AM","Pacers",NA,NA,NA,NA,NA,NA,"NBA"
"08:11:31 AM","Pacers",NA,NA,NA,NA,NA,NA,"NBA"
"08:11:50 AM","Pacers",NA,NA,NA,NA,NA,NA,"NBA"
"08:12:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:31 AM","12:00 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:12:51 AM","11:43 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:13:10 AM","11:43 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:13:38 AM","11:13 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:13:51 AM","10:59 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:14:14 AM","10:51 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:14:32 AM","10:29 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:14:51 AM","10:29 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:15:12 AM","10:29 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:15:33 AM","10:29 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:15:51 AM","10:29 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:16:13 AM","9:37 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:16:32 AM","9:20 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:16:57 AM","8:49 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:17:11 AM","8:49 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:17:31 AM","8:23 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:17:53 AM","8:23 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:18:11 AM","7:59 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:18:31 AM","7:59 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:18:54 AM","7:40 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:19:10 AM","7:28 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:19:31 AM","7:28 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:19:51 AM","7:01 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:20:10 AM","6:33 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:20:30 AM","6:13 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:20:51 AM","6:02 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:21:11 AM","6:02 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:21:29 AM","6:02 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:21:50 AM","6:02 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:22:12 AM","6:02 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:22:31 AM","6:02 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:22:52 AM","6:02 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:23:10 AM","6:02 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:23:32 AM","5:48 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:23:50 AM","5:48 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:24:12 AM","5:30 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:24:30 AM","5:19 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:24:51 AM","5:19 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:25:11 AM","5:04 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:25:32 AM","4:39 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:25:51 AM","4:39 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:26:12 AM","4:39 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:26:30 AM","4:31 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:26:52 AM","4:31 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:27:15 AM","4:17 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:27:34 AM","3:55 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:27:51 AM","3:44 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:28:13 AM","3:43 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:28:32 AM","3:43 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:28:52 AM","3:05 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:29:10 AM","3:03 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:29:32 AM","3:03 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:29:55 AM","2:52 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:30:12 AM","2:52 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:30:32 AM","2:52 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:30:52 AM","2:52 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:31:13 AM","2:52 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:31:30 AM","2:52 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:31:51 AM","2:52 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:32:14 AM","2:52 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:32:32 AM","2:38 1st",NA,NA,NA,NA,NA,NA,"NBA"
"08:32:52 AM","2:02 1st",NA,NA,NA,NA,NA,NA,"NBA"
