"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:33:15","1:14 1st","Q1","55","224.5","4.1","1.2","8","NBA"
"09:34:37",":45.3 1st","Q1","56","222.5","3.6","1.26","7","NBA"
"09:34:54",":29.4 1st","Q1","56","222.5","3.6","1.26","7","NBA"
"09:35:04",":29.4 1st","Q1","59","222.5","3.6","1.26","7","NBA"
"09:35:24",":29.4 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:35:40",":29.4 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:35:54",":29.4 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:36:04",":29.4 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:36:20",":29.4 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:36:30",":29.4 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:36:47",":29.4 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:36:57",":29.4 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:37:08","End 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:37:21","End 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:37:35","End 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:37:51","End 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:38:10","End 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:38:29","End 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:38:41","End 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:38:57","End 1st","Q1","59","225.5","4.3","1.19","8","NBA"
"09:39:09","12:00 2nd","Q1","59","225.5","4.3","1.19","8","NBA"
"09:39:25","12:00 2nd","Q1","59","225.5","4.3","1.19","8","NBA"
"09:39:37","11:25 2nd","Q1","59","225.5","4.3","1.19","8","NBA"
"09:39:52","11:25 2nd","Q2","61","225.5","4.3","1.19","8","NBA"
"09:40:04","11:00 2nd","Q2","61","225.5","5","1.15","9","NBA"
"09:40:17","11:00 2nd","Q2","63","225.5","5","1.15","9","NBA"
"09:40:32","10:38 2nd","Q2","63","225.5","5","1.15","9","NBA"
"09:40:46","10:38 2nd","Q2","63","227.5","5","1.15","9","NBA"
"09:41:05","10:47 2nd","Q2","69","227.5","5","1.15","9","NBA"
"09:41:26","10:38 2nd","Q2","71","229.5","5.2","1.14","9","NBA"
"09:41:41","9:56 2nd","Q2","71","229.5","5.2","1.14","9","NBA"
"09:41:58","9:56 2nd","Q2","71","229.5","5.2","1.14","9","NBA"
"09:42:12","10:15 2nd","Q2","71","229.5","5.2","1.14","9","NBA"
"09:42:26","9:56 2nd","Q2","71","229.5","5.2","1.14","9","NBA"
"09:42:42","9:56 2nd","Q2","71","229.5","5.2","1.14","9","NBA"
"09:42:56","9:56 2nd","Q2","71","229.5","5.2","1.14","9","NBA"
"09:43:13","9:56 2nd","Q2","71","229.5","5.2","1.14","9","NBA"
"09:43:28","9:56 2nd","Q2","71","229.5","5.2","1.14","9","NBA"
"09:43:45","9:56 2nd","Q2","71","229.5","5.2","1.14","9","NBA"
"09:43:57","9:56 2nd","Q2","71","229.5","5.2","1.14","9","NBA"
"09:44:16","9:56 2nd","Q2","71","229.5","5.2","1.14","9","NBA"
"09:44:27","9:56 2nd","Q2","71","229.5","5.2","1.14","9","NBA"
"09:44:44","9:56 2nd","Q2","72","229.5","5.2","1.14","9","NBA"
"09:44:55","9:56 2nd","Q2","72","232.5","4.3","1.19","8","NBA"
"09:45:11","9:52 2nd","Q2","72","232.5","4.3","1.19","8","NBA"
"09:45:27","9:52 2nd","Q2","75","232.5","4.3","1.19","8","NBA"
"09:45:43","9:24 2nd","Q2","75","232.5","4.3","1.19","8","NBA"
"09:45:57","9:24 2nd","Q2","75","232.5","4.3","1.19","8","NBA"
"09:46:13","9:01 2nd","Q2","79","233.5","5.5","1.13","10","NBA"
"09:46:27","9:01 2nd","Q2","79","233.5","5.5","1.13","10","NBA"
"09:46:45","8:37 2nd","Q2","79","231.5","5.5","1.13","10","NBA"
"09:46:59","8:37 2nd","Q2","79","231.5","5.5","1.13","10","NBA"
"09:47:15","8:37 2nd","Q2","80","231.5","6","1.11","10","NBA"
"09:47:30","8:37 2nd","Q2","80","231.5","6","1.11","10","NBA"
"09:47:49","8:23 2nd","Q2","80","229.5","6","1.11","10","NBA"
"09:48:02","8:23 2nd","Q2","80","229.5","6","1.11","10","NBA"
"09:48:24","7:32 2nd","Q2","82","230.5","7","1.08","11","NBA"
"09:48:38","7:32 2nd","Q2","84","230.5","7","1.08","11","NBA"
"09:48:55","7:22 2nd","Q2","84","231.5","7","1.08","11","NBA"
"09:49:09","7:22 2nd","Q2","85","231.5","7","1.08","11","NBA"
"09:49:25","7:22 2nd","Q2","85","232.5","6.25","1.1","10","NBA"
"09:49:39","7:22 2nd","Q2","90","232.5","6.25","1.1","10","NBA"
"09:49:58","6:47 2nd","Q2","90","233.5","7.50","1.07","12.0","NBA"
