"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:10:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
