"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:11:11 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:11:34 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:12:05 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:12:28 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:12:41 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:12:56 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:13:14 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:13:32 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:13:50 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:14:07 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:14:24 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:14:47 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:15:09 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:15:29 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:15:52 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:16:06 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:16:32 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:16:51 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:17:15 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:17:36 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:17:53 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:18:11 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:18:30 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:18:50 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:19:10 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:19:29 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:19:47 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:20:09 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:20:31 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:20:51 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:21:06 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:21:25 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:21:41 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:22:02 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:22:27 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:22:51 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:23:08 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:23:29 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:23:51 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:24:14 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:24:29 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:24:46 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
