"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:10:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
