"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:11:24 AM","8:38 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:11:55 AM","8:38 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:13 AM","8:50 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:36 AM","8:25 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:54 AM","8:25 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:12 AM","8:25 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:30 AM","8:25 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:57 AM","8:25 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:18 AM","8:25 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:35 AM","8:25 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:56 AM","8:25 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:15:19 AM","8:25 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:15:41 AM","8:25 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:15:53 AM","8:10 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:16:07 AM","8:10 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:16:36 AM","7:41 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:16:50 AM","7:21 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:17:12 AM","7:21 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:17:34 AM","6:45 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:17:51 AM","6:18 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:18:11 AM","6:45 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:18:28 AM","5:57 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:18:49 AM","5:32 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:19:09 AM","5:06 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:19:39 AM","5:06 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:19:54 AM","5:06 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:20:12 AM","5:06 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:20:35 AM","5:32 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:20:56 AM","5:06 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:21:10 AM","5:06 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:21:34 AM","5:06 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:21:52 AM","5:06 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:22:09 AM","4:58 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:22:27 AM","4:58 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:22:44 AM","4:41 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:23:04 AM","4:18 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:23:32 AM","4:14 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:23:50 AM","4:58 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:24:09 AM","4:14 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:24:33 AM","3:57 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:24:44 AM","3:57 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:25:10 AM","3:15 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:25:28 AM","4:14 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:25:44 AM","3:15 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:26:07 AM","3:15 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:26:40 AM","3:15 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:26:47 AM","2:57 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:27:15 AM","2:57 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:27:25 AM","2:57 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:27:49 AM","2:57 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:28:08 AM","2:57 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:28:26 AM","2:57 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:28:46 AM","2:57 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:29:02 AM","2:57 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:29:26 AM","2:57 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:29:41 AM","2:57 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:30:01 AM","2:25 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:30:26 AM","2:14 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:30:50 AM","1:55 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:31:06 AM","1:26 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:31:31 AM","1:26 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:31:47 AM","1:14 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:32:05 AM","1:14 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:32:32 AM",":49.4 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:32:49 AM",":31.4 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:33:04 AM",":19.9 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:33:36 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:33:47 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:34:06 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:34:25 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:34:43 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:35:06 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:35:33 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:35:43 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:36:07 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:36:31 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:36:47 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:37:11 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:37:32 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:37:47 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:38:04 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:38:25 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:38:44 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:39:04 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:39:32 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:39:47 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:40:04 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:40:24 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:40:46 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:42:04 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:42:32 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:42:46 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:43:04 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:43:26 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:43:45 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:44:01 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:44:40 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:45:03 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:45:30 AM","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:45:48 AM","Trail Blazers",NA,NA,"232.5","3","1.36","6","NBA"
"11:46:26 AM","Trail Blazers",NA,NA,"232.5","3","1.36","6","NBA"
"11:46:47 AM","11:39 1st",NA,NA,"232.5","3","1.36","6","NBA"
"11:47:09 AM","11:39 1st",NA,NA,"232.5","3.2","1.32","6","NBA"
"11:47:36 AM","11:23 1st",NA,NA,"232.5","3.2","1.32","6","NBA"
"11:47:50 AM","10:34 1st",NA,NA,"230.5","3.25","1.32","6","NBA"
"11:48:09 AM","10:34 1st",NA,NA,"230.5","3.25","1.32","6","NBA"
"11:48:29 AM","10:07 1st","Q1","4","233.5","3.25","1.32","6","NBA"
"11:48:45 AM","10:07 1st","Q1","4","233.5","3.25","1.32","6","NBA"
"11:49:05 AM","10:07 1st","Q1","8","233.5","3.25","1.32","6","NBA"
"11:49:28 AM","10:07 1st","Q1","8","233.5","3.25","1.32","6","NBA"
