"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:04:08 AM","1st 20:00","First Half","2","121.5","3.02","1.35","6.5","NCAA"
"08:04:32 AM","1st 20:00","First Half","2","121.5","3.02","1.35","6.5","NCAA"
"08:04:47 AM","1st 20:00","First Half","2","119","2.76","1.41","6","NCAA"
"08:05:10 AM","1st 20:00","First Half","2","119","2.76","1.41","6","NCAA"
"08:05:30 AM","1st 20:00","First Half","4","124","2.75","1.41","5.5","NCAA"
"08:05:48 AM","1st 20:00","First Half","7","124","2.75","1.41","5.5","NCAA"
"08:06:09 AM","1st 18:11","First Half","7","121","2.92","1.37","4.5","NCAA"
"08:06:31 AM","1st 18:11","First Half","7","121","2.92","1.37","4.5","NCAA"
"08:06:48 AM","1st 18:11","First Half","7","120.5","2.84","1.39","5.5","NCAA"
"08:07:09 AM","1st 18:11","First Half","7","120.5","2.84","1.39","5.5","NCAA"
"08:07:30 AM","1st 16:54","First Half","10","122.5","3.32","1.3","8","NCAA"
"08:07:47 AM","1st 16:54","First Half","10","122.5","3.32","1.3","8","NCAA"
"08:08:08 AM","1st 16:10","First Half","10","122.5","3.32","1.3","8","NCAA"
"08:08:29 AM","1st 16:10","First Half","10","122.5","3.32","1.3","8","NCAA"
"08:08:48 AM","1st 16:10","First Half","10","122.5","3.32","1.3","8","NCAA"
"08:09:08 AM","1st 16:10","First Half","10","122.5","3.32","1.3","8","NCAA"
"08:09:29 AM","1st 16:10","First Half","10","122.5","3.32","1.3","8","NCAA"
"08:09:48 AM","1st 16:10","First Half","10","122.5","3.32","1.3","8","NCAA"
"08:10:09 AM","1st 16:10","First Half","10","122.5","3.32","1.3","8","NCAA"
"08:10:27 AM","1st 16:10","First Half","10","122.5","3.32","1.3","8","NCAA"
"08:10:48 AM","1st 16:10","First Half","10","119.5","3.32","1.3","6.5","NCAA"
"08:11:10 AM","1st 16:10","First Half","10","119.5","3.32","1.3","6.5","NCAA"
"08:11:31 AM","1st 16:10","First Half","10","118.5","4","1.22","9","NCAA"
"08:11:50 AM","1st 16:10","First Half","10","118.5","4","1.22","9","NCAA"
"08:12:12 AM","1st 15:54","First Half","12","120.5","4.8","1.16","10","NCAA"
"08:12:31 AM","1st 15:36","First Half","12","120.5","4.8","1.16","10","NCAA"
"08:12:51 AM","1st 15:36","First Half","13","119.5","4","1.22","10","NCAA"
"08:13:10 AM","1st 15:18","First Half","13","119.5","4","1.22","10","NCAA"
"08:13:38 AM","1st 15:18","First Half","15","120.5","3.45","1.28","8","NCAA"
"08:13:51 AM","1st 15:18","First Half","15","120.5","3.45","1.28","8","NCAA"
"08:14:14 AM","1st 14:26","First Half","17","122.5","3.12","1.33","5.5","NCAA"
"08:14:32 AM","1st 14:21","First Half","17","122.5","3.12","1.33","5.5","NCAA"
"08:14:51 AM","1st 13:49","First Half","17","120.5","4.25","1.2","7.5","NCAA"
"08:15:12 AM","1st 13:49","First Half","17","120.5","4.25","1.2","7.5","NCAA"
"08:15:33 AM","1st 13:49","First Half","17","118.5","3.12","1.33","6","NCAA"
"08:15:51 AM","1st 13:31","First Half","17","118.5","3.12","1.33","6","NCAA"
"08:16:13 AM","1st 13:31","First Half","19","121.5","3.14","1.33","7.5","NCAA"
"08:16:32 AM","1st 13:21","First Half","19","121.5","3.14","1.33","7.5","NCAA"
"08:16:57 AM","1st 13:21","First Half","23","121.5","2.65","1.44","4.5","NCAA"
"08:17:11 AM","1st 13:21","First Half","23","121.5","2.65","1.44","4.5","NCAA"
"08:17:31 AM","1st 13:21","First Half","23","120.5","2.86","1.39","4.5","NCAA"
"08:17:53 AM","1st 11:49","First Half","28","120.5","2.86","1.39","4.5","NCAA"
"08:18:11 AM","1st 11:49","First Half","28","123.5","2.9","1.38","6","NCAA"
"08:18:31 AM","1st 10:43","First Half","28","123.5","2.9","1.38","6","NCAA"
"08:18:54 AM","1st 10:43","First Half","30","124.5","2.91","1.38","5.5","NCAA"
"08:19:10 AM","1st 10:43","First Half","30","124.5","2.91","1.38","5.5","NCAA"
