"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:03:09 AM","1st 20:00",NA,NA,"130.5","7.75","1.06","14","NCAA"
"08:03:27 AM","1st 20:00",NA,NA,"130.5","7.75","1.06","14","NCAA"
"08:03:49 AM","1st 20:00","First Half","0","130.5","7.75","1.06","14","NCAA"
"08:04:07 AM","1st 20:00","First Half","0","130.5","7.75","1.06","14","NCAA"
"08:04:26 AM","1st 20:00","First Half","0","130.5","7.75","1.06","14","NCAA"
"08:04:49 AM","1st 20:00","First Half","0","130.5","7.75","1.06","14","NCAA"
"08:05:14 AM","1st 20:00","First Half","0","128.5","8.5","1.05","15","NCAA"
"08:05:26 AM","1st 20:00","First Half","0","128.5","8.5","1.05","15","NCAA"
"08:05:47 AM","1st 20:00","First Half","0","131.5","7.75","1.06","14.5","NCAA"
"08:06:08 AM","1st 20:00","First Half","0","131.5","7.75","1.06","14.5","NCAA"
"08:06:26 AM","1st 20:00","First Half","2","131.5","7.75","1.06","14.5","NCAA"
"08:06:50 AM","1st 20:00","First Half","2","131.5","7.75","1.06","14.5","NCAA"
"08:07:07 AM","1st 19:38","First Half","2","128.5","7.5","1.06","14","NCAA"
"08:07:26 AM","1st 19:38","First Half","2","128.5","7.5","1.06","14","NCAA"
"08:07:47 AM","1st 19:38","First Half","2","124.5","7.5","1.06","14.5","NCAA"
"08:08:06 AM","1st 19:38","First Half","2","124.5","7.5","1.06","14.5","NCAA"
"08:08:28 AM","1st 18:49","First Half","2","125.5","8.5","1.05","15","NCAA"
"08:08:46 AM","1st 18:49","First Half","2","125.5","8.5","1.05","15","NCAA"
"08:09:07 AM","1st 17:17","First Half","4","123.5","7.5","1.06","16","NCAA"
"08:09:28 AM","1st 17:17","First Half","4","123.5","7.5","1.06","16","NCAA"
"08:09:49 AM","1st 17:17","First Half","4","126.5","8.5","1.05","15","NCAA"
"08:10:07 AM","1st 17:17","First Half","4","126.5","8.5","1.05","15","NCAA"
"08:10:27 AM","1st 17:17","First Half","8","126.5","8.5","1.05","15","NCAA"
"08:10:46 AM","1st 17:17","First Half","8","126.5","8.5","1.05","15","NCAA"
"08:11:12 AM","1st 16:57","First Half","8","126.5","8.5","1.05","15","NCAA"
"08:11:31 AM","1st 16:57","First Half","8","126.5","8.5","1.05","15","NCAA"
"08:11:48 AM","1st 16:57","First Half","8","126.5","8.5","1.05","15","NCAA"
"08:12:13 AM","1st 16:57","First Half","8","126.5","8.5","1.05","15","NCAA"
"08:12:27 AM","1st 15:51","First Half","8","126.5","8.5","1.05","15","NCAA"
"08:12:47 AM","1st 15:51","First Half","8","126.5","8.5","1.05","15","NCAA"
"08:13:07 AM","1st 15:51","First Half","8","126.5","8.5","1.05","15","NCAA"
"08:13:27 AM","1st 15:51","First Half","8","126.5","8.5","1.05","15","NCAA"
"08:13:47 AM","1st 15:51","First Half","8","126.5","8.5","1.05","15","NCAA"
"08:14:14 AM","1st 15:51","First Half","13","126.5","8.5","1.05","15","NCAA"
"08:14:28 AM","1st 15:51","First Half","13","134.5","9.5","1.04","16.5","NCAA"
