"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"04:30:58 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:31:16 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:31:44 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:32:05 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:32:22 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:32:42 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:33:06 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:33:29 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:33:42 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:34:04 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:34:17 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:34:38 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:35:00 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:35:26 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:35:46 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:36:09 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:36:26 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:36:51 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:37:05 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:37:23 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:37:44 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:38:00 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:38:27 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:38:39 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:39:06 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:39:22 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:39:42 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:39:57 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:40:19 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:40:49 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:40:56 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:41:23 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:41:42 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:42:01 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:42:22 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:42:43 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:43:04 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:43:17 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:44:02 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:44:20 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:44:41 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:45:06 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:45:07 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:45:30 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:45:45 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:46:04 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:46:20 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
"04:46:43 AM","Nuggets",NA,NA,NA,NA,NA,NA,"NBA"
