"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"05:41:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:41:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:41:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:42:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:42:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:42:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:43:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:43:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:43:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:44:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:44:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:44:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:45:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:45:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:45:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:46:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:46:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:46:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:47:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:47:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:47:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:48:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:48:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:48:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:49:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:49:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:49:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:50:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:50:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:50:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:51:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:51:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:51:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:52:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:52:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:52:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:53:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:53:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:53:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:54:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:54:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:54:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:55:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:55:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:55:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:56:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:56:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:56:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:57:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:57:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:57:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:58:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:58:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:58:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:59:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:59:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:59:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:00:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:00:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:00:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:01:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:01:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:01:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:02:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:02:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:02:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:03:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:03:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:03:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:04:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:04:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:04:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:05:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:05:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:05:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:06:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:06:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:06:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:07:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:07:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:07:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:08:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:08:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:08:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:09:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:09:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:09:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:10:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:10:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:10:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:11:30 AM","12:00 1st",NA,NA,"216.5","2.05","1.72","2","NBA"
"06:11:51 AM","12:00 1st",NA,NA,"216.5","2.05","1.72","2","NBA"
"06:12:11 AM","11:21 1st",NA,NA,"216.5","2.05","1.72","2","NBA"
"06:12:29 AM","10:46 1st",NA,NA,"216.5","2.05","1.72","2","NBA"
"06:12:49 AM","10:46 1st",NA,NA,"216.5","2.05","1.72","2","NBA"
"06:13:11 AM","10:32 1st",NA,NA,"216.5","2.05","1.72","2","NBA"
"06:13:30 AM","10:16 1st",NA,NA,"217.5","2","1.78","1","NBA"
"06:13:50 AM","10:16 1st",NA,NA,"217.5","2","1.78","1","NBA"
"06:14:09 AM","9:50 1st",NA,NA,"220.5","2.15","1.66","2","NBA"
"06:14:32 AM","9:05 1st","Q1","5","220.5","2.15","1.66","2","NBA"
"06:14:50 AM","9:05 1st","Q1","5","210.5","2.1","1.7","2","NBA"
"06:15:11 AM","9:05 1st","Q1","5","210.5","2.1","1.7","2","NBA"
"06:15:31 AM","9:02 1st","Q1","5","211.5","2.05","1.72","2","NBA"
"06:15:49 AM","9:02 1st","Q1","7","211.5","2.05","1.72","2","NBA"
"06:16:09 AM","8:33 1st","Q1","7","211.5","1.84","1.9","1","NBA"
"06:16:31 AM","8:33 1st","Q1","7","211.5","1.84","1.9","1","NBA"
