"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:40:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:40:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:18 AM","11:44 1st",NA,NA,"208.5","6","1.11","11","NBA"
"08:12:39 AM","11:44 1st",NA,NA,"208.5","6","1.11","11","NBA"
"08:12:58 AM","11:08 1st",NA,NA,"208.5","6","1.11","11","NBA"
"08:13:17 AM","11:08 1st",NA,NA,"208.5","6","1.11","11","NBA"
"08:13:43 AM","10:07 1st",NA,NA,"214.5","5.7","1.12","11","NBA"
"08:14:03 AM","10:07 1st",NA,NA,"214.5","5.7","1.12","11","NBA"
"08:14:20 AM","9:55 1st",NA,NA,"207.5","6","1.11","11","NBA"
"08:14:39 AM","9:27 1st","Q1","10","207.5","6","1.11","11","NBA"
"08:14:58 AM","9:27 1st","Q1","10","209.5","6.25","1.1","12","NBA"
"08:15:22 AM","8:43 1st","Q1","10","209.5","6.25","1.1","12","NBA"
"08:15:41 AM","8:26 1st","Q1","14","207.5","6","1.11","11","NBA"
"08:15:59 AM","8:26 1st","Q1","14","207.5","6","1.11","11","NBA"
"08:16:17 AM","8:18 1st","Q1","14","205.5","6.75","1.09","12","NBA"
"08:16:36 AM","7:56 1st","Q1","14","205.5","6.75","1.09","12","NBA"
"08:16:59 AM","7:56 1st","Q1","14","204.5","6.75","1.09","12","NBA"
"08:17:20 AM","7:27 1st","Q1","16","204.5","6.75","1.09","12","NBA"
"08:17:36 AM","7:19 1st","Q1","16","205.5","6.25","1.1","11","NBA"
"08:17:57 AM","7:19 1st","Q1","16","205.5","6.25","1.1","11","NBA"
"08:18:17 AM","7:11 1st","Q1","16","205.5","6","1.11","11","NBA"
"08:18:37 AM","7:11 1st","Q1","18","205.5","6","1.11","11","NBA"
"08:18:59 AM","6:37 1st","Q1","18","205.5","5.5","1.13","10","NBA"
"08:19:18 AM","6:28 1st","Q1","18","205.5","5.5","1.13","10","NBA"
"08:19:37 AM","6:28 1st","Q1","20","205.5","5.5","1.13","10","NBA"
"08:19:57 AM","6:28 1st","Q1","20","205.5","5.5","1.13","10","NBA"
"08:20:18 AM","6:28 1st","Q1","20","205.5","5.5","1.13","10","NBA"
"08:20:37 AM","6:28 1st","Q1","20","205.5","5.5","1.13","10","NBA"
"08:20:56 AM","6:28 1st","Q1","20","205.5","5.5","1.13","10","NBA"
"08:21:17 AM","6:28 1st","Q1","20","205.5","5.5","1.13","10","NBA"
"08:21:38 AM","6:28 1st","Q1","20","205.5","5.5","1.13","10","NBA"
"08:21:56 AM","6:15 1st","Q1","20","203.5","5.5","1.13","10","NBA"
"08:22:20 AM","5:51 1st","Q1","20","203.5","5.5","1.13","10","NBA"
"08:22:35 AM","5:51 1st","Q1","20","200.5","5","1.15","10","NBA"
"08:22:57 AM","5:51 1st","Q1","20","200.5","5","1.15","10","NBA"
"08:23:19 AM","5:51 1st","Q1","20","200.5","5","1.15","10","NBA"
