"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:41:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:09:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:09:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:09:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:10:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:10:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:10:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:11:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:21 AM","11:34 1st",NA,NA,"222.5","4","1.22","8","NBA"
"10:13:38 AM","11:04 1st",NA,NA,"222.5","4","1.22","8","NBA"
"10:13:56 AM","10:46 1st",NA,NA,"222.5","4.1","1.2","8","NBA"
"10:14:19 AM","10:24 1st",NA,NA,"222.5","4.1","1.2","8","NBA"
"10:14:37 AM","10:12 1st","Q1","4","230.5","4","1.22","8","NBA"
"10:14:57 AM","10:12 1st","Q1","4","230.5","4","1.22","8","NBA"
"10:15:20 AM","9:15 1st","Q1","4","219.5","3.6","1.26","7","NBA"
"10:15:40 AM","9:22 1st","Q1","11","219.5","3.6","1.26","7","NBA"
"10:15:57 AM","8:47 1st","Q1","11","218.5","3.3","1.3","7","NBA"
"10:16:15 AM","8:30 1st","Q1","11","218.5","3.3","1.3","7","NBA"
"10:16:32 AM","8:21 1st","Q1","11","216.5","3.6","1.26","7","NBA"
"10:16:50 AM","7:55 1st","Q1","11","216.5","3.6","1.26","7","NBA"
"10:17:12 AM","7:55 1st","Q1","15","218.5","4.1","1.2","8","NBA"
"10:17:34 AM","7:29 1st","Q1","15","218.5","4.1","1.2","8","NBA"
"10:17:55 AM","7:08 1st","Q1","15","220.5","4.2","1.2","8","NBA"
"10:18:20 AM","6:32 1st","Q1","15","220.5","4.2","1.2","8","NBA"
"10:18:37 AM","6:32 1st","Q1","28","220.5","4.5","1.18","9","NBA"
"10:19:02 AM","6:11 1st","Q1","28","220.5","4.5","1.18","9","NBA"
"10:19:19 AM","6:11 1st","Q1","28","220.5","4.5","1.18","9","NBA"
"10:19:35 AM","6:11 1st","Q1","28","220.5","4.5","1.18","9","NBA"
"10:19:56 AM","6:11 1st","Q1","28","220.5","4.5","1.18","9","NBA"
"10:20:16 AM","6:11 1st","Q1","28","220.5","4.5","1.18","9","NBA"
"10:20:41 AM","6:11 1st","Q1","28","220.5","4.5","1.18","9","NBA"
"10:21:01 AM","6:11 1st","Q1","28","220.5","4.5","1.18","9","NBA"
"10:21:22 AM","6:11 1st","Q1","28","220.5","4.5","1.18","9","NBA"
"10:21:39 AM","5:51 1st","Q1","28","220.5","4.5","1.18","9","NBA"
"10:21:53 AM","5:51 1st","Q1","28","218.5","4.5","1.18","9","NBA"
"10:22:10 AM","5:26 1st","Q1","28","218.5","4.5","1.18","9","NBA"
"10:22:35 AM","5:04 1st","Q1","28","215.5","4.5","1.18","9","NBA"
"10:23:01 AM","5:04 1st","Q1","28","215.5","4.5","1.18","9","NBA"
"10:23:13 AM","5:04 1st","Q1","28","214.5","4.3","1.19","9","NBA"
"10:23:33 AM","5:00 1st","Q1","28","214.5","4.3","1.19","9","NBA"
"10:23:58 AM","4:38 1st","Q1","32","220.5","4.8","1.16","9","NBA"
"10:24:14 AM","4:35 1st","Q1","32","220.5","4.8","1.16","9","NBA"
"10:24:39 AM","4:03 1st","Q1","32","223.5","4.3","1.19","8","NBA"
"10:24:59 AM","3:42 1st","Q1","40","223.5","4.3","1.19","8","NBA"
"10:25:18 AM","3:42 1st","Q1","40","224.5","4.5","1.18","9","NBA"
"10:25:42 AM","3:01 1st","Q1","40","224.5","4.5","1.18","9","NBA"
"10:25:59 AM","2:40 1st","Q1","40","222.5","4.5","1.18","9","NBA"
"10:26:18 AM","2:40 1st","Q1","40","222.5","4.5","1.18","9","NBA"
"10:26:35 AM","2:40 1st","Q1","42","222.5","4.5","1.18","9","NBA"
"10:26:57 AM","2:40 1st","Q1","42","222.5","4.5","1.18","9","NBA"
"10:27:18 AM","2:40 1st","Q1","42","222.5","4.5","1.18","9","NBA"
"10:27:38 AM","2:40 1st","Q1","42","222.5","4.5","1.18","9","NBA"
"10:27:57 AM","2:40 1st","Q1","42","222.5","4.5","1.18","9","NBA"
"10:28:12 AM","2:40 1st","Q1","42","222.5","4.5","1.18","9","NBA"
"10:28:36 AM","2:40 1st","Q1","42","222.5","4.5","1.18","9","NBA"
"10:28:59 AM","2:26 1st","Q1","42","222.5","4.5","1.18","9","NBA"
"10:29:20 AM","2:26 1st","Q1","42","218.5","4.3","1.19","9","NBA"
"10:29:40 AM","2:11 1st","Q1","42","218.5","4.3","1.19","9","NBA"
"10:30:00 AM","2:11 1st","Q1","42","217.5","5.2","1.14","10","NBA"
"10:30:20 AM","1:48 1st","Q1","44","218.5","4.3","1.19","9","NBA"
"10:30:36 AM","1:24 1st","Q1","44","218.5","4.3","1.19","9","NBA"
"10:30:59 AM","1:00 1st","Q1","44","216.5","4.3","1.18","9","NBA"
"10:31:18 AM","1:00 1st","Q1","44","216.5","4.3","1.18","9","NBA"
"10:31:43 AM",":46.9 1st","Q1","49","215.5","5","1.15","9","NBA"
"10:32:03 AM",":32.5 1st","Q1","49","215.5","5","1.15","9","NBA"
"10:32:18 AM",":32.5 1st","Q1","49","217.5","4.3","1.19","8","NBA"
"10:32:38 AM",":22.8 1st","Q1","49","217.5","4.3","1.19","8","NBA"
"10:32:58 AM",":22.8 1st","Q1","49","217.5","4.3","1.19","8","NBA"
"10:33:15 AM",":01.4 1st","Q1","51","217.5","4.3","1.19","8","NBA"
"10:33:33 AM","End 1st","Q1","51","217.5","4.3","1.19","8","NBA"
"10:33:55 AM","End 1st","Q1","51","217.5","4.3","1.19","8","NBA"
"10:34:11 AM","End 1st","Q1","51","217.5","4.3","1.19","8","NBA"
"10:34:32 AM","End 1st","Q1","51","217.5","4.3","1.19","8","NBA"
"10:34:52 AM","End 1st","Q1","51","217.5","4.3","1.19","8","NBA"
"10:35:12 AM","End 1st","Q1","51","217.5","4.3","1.19","8","NBA"
"10:35:45 AM","12:00 2nd","Q1","51","217.5","4.3","1.19","8","NBA"
"10:36:01 AM","12:00 2nd","Q1","51","217.5","4.3","1.19","8","NBA"
"10:36:19 AM","11:38 2nd","Q1","51","220.5","5.7","1.12","11","NBA"
"10:36:42 AM","11:12 2nd","Q1","51","220.5","5.7","1.12","11","NBA"
"10:37:19 AM","11:12 2nd","Q2","61","222.5","4.3","1.19","8","NBA"
"10:37:44 AM","10:37 2nd","Q2","61","222.5","4.5","1.18","9","NBA"
"10:37:55 AM","10:19 2nd","Q2","61","222.5","4.5","1.18","9","NBA"
"10:38:18 AM","9:53 2nd","Q2","61","222.5","4.3","1.19","8","NBA"
"10:38:35 AM","9:37 2nd","Q2","65","222.5","4.3","1.19","8","NBA"
"10:39:01 AM","9:29 2nd","Q2","65","217.5","4.3","1.19","8","NBA"
"10:39:22 AM","9:29 2nd","Q2","65","217.5","4.3","1.19","8","NBA"
"10:39:37 AM","9:01 2nd","Q2","65","219.5","4.2","1.2","8","NBA"
"10:39:59 AM","9:01 2nd","Q2","65","219.5","4.2","1.2","8","NBA"
"10:40:14 AM","8:38 2nd","Q2","70","222.5","4","1.22","7","NBA"
"10:40:37 AM","8:20 2nd","Q2","70","222.5","4","1.22","7","NBA"
"10:41:00 AM","8:20 2nd","Q2","70","227.5","4.3","1.19","8","NBA"
"10:41:18 AM","7:52 2nd","Q2","70","227.5","4.3","1.19","8","NBA"
"10:41:37 AM","7:43 2nd","Q2","80","225.5","4.3","1.19","8","NBA"
"10:42:00 AM","7:22 2nd","Q2","80","225.5","4.3","1.19","8","NBA"
"10:42:13 AM","7:22 2nd","Q2","80","225.5","4.3","1.19","8","NBA"
"10:42:40 AM","7:22 2nd","Q2","80","225.5","4.3","1.19","8","NBA"
"10:42:57 AM","7:22 2nd","Q2","80","225.5","4.3","1.19","8","NBA"
"10:43:17 AM","7:22 2nd","Q2","80","225.5","4.3","1.19","8","NBA"
"10:43:45 AM","7:22 2nd","Q2","80","226.5","4","1.22","7","NBA"
"10:44:00 AM","7:22 2nd","Q2","80","226.5","4","1.22","7","NBA"
"10:44:26 AM","7:22 2nd","Q2","81","228.5","4.2","1.2","8","NBA"
"10:44:40 AM","7:22 2nd","Q2","81","228.5","4.2","1.2","8","NBA"
"10:45:04 AM","7:05 2nd","Q2","81","227.5","4","1.22","7","NBA"
"10:45:35 AM","6:23 2nd","Q2","86","226.5","4","1.22","7","NBA"
"10:45:38 AM","6:23 2nd","Q2","86","226.5","4","1.22","7","NBA"
"10:46:13 AM","6:23 2nd","Q2","86","226.5","4","1.22","7","NBA"
"10:46:21 AM","6:10 2nd","Q2","86","226.5","4","1.22","7","NBA"
"10:46:53 AM","6:10 2nd","Q2","86","226.5","4","1.22","7","NBA"
"10:47:16 AM","5:52 2nd","Q2","86","226.5","4","1.22","7","NBA"
"10:47:32 AM","5:52 2nd","Q2","86","226.5","4","1.22","7","NBA"
"10:47:55 AM","5:52 2nd","Q2","86","226.5","4","1.22","7","NBA"
"10:48:10 AM","5:52 2nd","Q2","86","226.5","4","1.22","7","NBA"
"10:48:23 AM","5:52 2nd","Q2","86","226.5","4","1.22","7","NBA"
"10:48:49 AM","5:52 2nd","Q2","86","226.5","4","1.22","7","NBA"
"10:49:10 AM","5:52 2nd","Q2","86","223.5","4.2","1.2","7","NBA"
"10:49:26 AM","5:17 2nd","Q2","86","223.5","4.2","1.2","7","NBA"
"10:49:51 AM","5:17 2nd","Q2","88","220.5","4.2","1.2","7","NBA"
"10:50:13 AM","5:17 2nd","Q2","88","220.5","4.2","1.2","7","NBA"
"10:50:29 AM","4:55 2nd","Q2","88","219.5","4.3","1.19","8","NBA"
"10:50:51 AM","4:47 2nd","Q2","89","219.5","4.3","1.19","8","NBA"
"10:51:11 AM","4:47 2nd","Q2","89","220.5","4.8","1.16","8","NBA"
"10:51:32 AM","4:47 2nd","Q2","89","220.5","4.8","1.16","8","NBA"
"10:51:42 AM","4:47 2nd","Q2","89","222.5","4.3","1.19","8","NBA"
"10:52:05 AM","4:47 2nd","Q2","89","222.5","4.3","1.19","8","NBA"
"10:52:18 AM","4:02 2nd","Q2","92","222.5","4.3","1.19","8","NBA"
