"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"12:34:58 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:35:17 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:35:37 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:35:57 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:36:30 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:36:38 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:36:59 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:37:21 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:37:38 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:37:58 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:38:33 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:38:41 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:38:57 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:39:20 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:39:39 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:40:02 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:40:23 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:40:36 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:40:58 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:41:17 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:41:41 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:41:57 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:42:43 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:43:00 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:43:19 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:43:40 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:44:05 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:44:13 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:44:22 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:44:40 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:45:00 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:45:24 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:45:43 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:46:01 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:46:25 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:46:46 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:46:59 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:47:31 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:47:40 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:48:02 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:48:19 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:48:43 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:49:08 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:49:28 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:49:39 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:50:00 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:50:25 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"12:50:41 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
