"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:11:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
