"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:41:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
