"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"12:12:14 AM","1st 19:50","First Half","0","142.5","2.4","1.52","3.5","NCAA"
"12:12:43 AM","1st 19:40",NA,NA,NA,NA,NA,NA,"NCAA"
"12:12:52 AM","1st 19:08",NA,NA,NA,NA,NA,NA,"NCAA"
"12:13:21 AM","1st 19:08",NA,NA,NA,NA,NA,NA,"NCAA"
"12:13:29 AM","1st 18:54",NA,NA,NA,NA,NA,NA,"NCAA"
"12:13:57 AM","1st 18:04",NA,NA,NA,NA,NA,NA,"NCAA"
"12:14:10 AM","1st 18:04","First Half","7","141.5","2.61","1.46","4.5","NCAA"
"12:14:36 AM","1st 17:49","First Half","7","141.5","2.61","1.46","4.5","NCAA"
"12:14:50 AM","1st 17:39","First Half","7","139.5","2.55","1.47","6.5","NCAA"
"12:15:14 AM","1st 17:39","First Half","7","139.5","2.55","1.47","6.5","NCAA"
"12:15:38 AM","1st 17:12","First Half","7","138.5","2.3","1.57","3.5","NCAA"
"12:15:57 AM","1st 17:04","First Half","9","138.5","2.3","1.57","3.5","NCAA"
"12:16:17 AM","1st 17:04","First Half","13","142.5","2.49","1.49","4.5","NCAA"
"12:16:45 AM","1st 16:09","First Half","13","142.5","2.49","1.49","4.5","NCAA"
"12:16:52 AM","1st 16:09","First Half","13","142.5","2.86","1.39","5.5","NCAA"
"12:17:12 AM","1st 15:54","First Half","15","142.5","2.86","1.39","5.5","NCAA"
"12:17:33 AM","1st 15:54","First Half","15","141.5","2.69","1.43","4.5","NCAA"
"12:17:51 AM","1st 15:27","First Half","15","141.5","2.69","1.43","4.5","NCAA"
"12:18:25 AM","1st 15:27","First Half","15","142.5","2.78","1.41","5.5","NCAA"
"12:18:31 AM","1st 15:27","First Half","15","142.5","2.78","1.41","5.5","NCAA"
"12:18:57 AM","1st 15:27","First Half","15","142.5","2.78","1.41","5.5","NCAA"
"12:19:16 AM","1st 15:27","First Half","15","142.5","2.78","1.41","5.5","NCAA"
"12:19:30 AM","1st 15:27","First Half","15","141.5","2.69","1.43","4.5","NCAA"
"12:20:07 AM","1st 15:27","First Half","15","141.5","2.69","1.43","4.5","NCAA"
"12:20:31 AM","1st 15:27","First Half","15","141.5","2.69","1.43","4.5","NCAA"
"12:20:39 AM","1st 15:27","First Half","15","141.5","2.69","1.43","4.5","NCAA"
"12:20:51 AM","1st 15:27","First Half","15","141.5","2.69","1.43","4.5","NCAA"
"12:21:16 AM","1st 15:24","First Half","15","142.5","2.84","1.39","5.5","NCAA"
"12:21:33 AM","1st 15:27","First Half","18","142.5","2.84","1.39","5.5","NCAA"
"12:21:52 AM","1st 15:17","First Half","18","145.5","3.18","1.33","6.5","NCAA"
"12:22:10 AM","1st 15:17","First Half","18","145.5","3.18","1.33","6.5","NCAA"
"12:22:29 AM","1st 15:05","First Half","18","144.5","3.32","1.3","6.5","NCAA"
"12:22:59 AM","1st 15:05","First Half","20","144.5","3.32","1.3","6.5","NCAA"
"12:23:10 AM","1st 14:35","First Half","20","143.5","2.93","1.37","5.5","NCAA"
"12:23:35 AM","1st 14:30","First Half","23","143.5","2.93","1.37","5.5","NCAA"
