"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:35:32 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:35:51 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:36:11 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:36:34 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:36:51 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:37:11 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:37:33 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:37:50 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:38:12 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:38:35 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:38:57 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:39:12 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:39:34 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:39:51 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:40:21 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:40:32 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:40:55 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:13 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:31 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:50 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:17 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:32 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:52 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:14 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:32 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:52 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:11 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:32 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:54 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:12 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:32 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:56 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:46:11 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:46:33 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:46:51 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:16 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:31 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:51 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:11 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:33 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:55 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:49:13 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:49:32 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:49:56 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:50:16 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:50:36 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:50:54 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:51:15 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:51:33 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:51:50 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:13 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:35 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:51 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:12 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:32 AM","Mar 23-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:55:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:55:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:55:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:56:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:56:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:56:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:58:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:58:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:58:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:01:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:01:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:01:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:02:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:02:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:02:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:03:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:03:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:03:50 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:04:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:04:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:04:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:05:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:05:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:07:54 AM","Pre-game","First Half","0","147.5","1.86","1.87","1","NCAA"
"07:08:18 AM","Pre-game","First Half","0","147.5","1.86","1.87","1","NCAA"
"07:08:34 AM","1st 20:00","First Half","0","147.5","1.86","1.87","1","NCAA"
"07:08:57 AM","1st 20:00","First Half","0","147.5","1.86","1.87","1","NCAA"
"07:09:17 AM","1st 20:00","First Half","0","147.5","1.86","1.87","1","NCAA"
"07:09:37 AM","1st 20:00","First Half","0","147.5","1.86","1.87","1","NCAA"
"07:09:53 AM","1st 20:00","First Half","0","147.5","1.86","1.87","1","NCAA"
"07:10:15 AM","1st 20:00","First Half","0","147.5","1.86","1.87","1","NCAA"
"07:10:36 AM","1st 20:00","First Half","0","147.5","1.86","1.87","1","NCAA"
