"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"02:31:16 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:31:38 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:31:55 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:32:17 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:32:39 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:32:53 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:33:15 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:33:32 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:33:51 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:34:10 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:34:34 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:34:52 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:35:12 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:35:34 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:35:55 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:36:16 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:36:33 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:36:52 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:37:11 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"02:37:33 AM","Mar 12-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
