"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"04:45:50 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:46:12 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:46:31 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:46:52 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:47:14 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:47:32 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:47:55 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:48:13 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:48:34 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:48:57 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:49:14 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:49:36 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:49:51 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:50:13 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:50:32 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:50:55 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:51:14 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:51:31 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:51:55 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:52:11 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:52:34 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:52:54 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:53:11 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:53:31 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:53:50 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:54:11 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:54:31 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:54:50 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:55:11 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:55:33 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:55:51 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:56:11 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:56:36 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:56:51 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:57:13 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:57:32 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:57:51 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:58:13 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:58:32 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:58:53 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:59:13 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:59:32 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:59:52 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:00:13 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:00:28 AM","Mar 19-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:00:49 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:01:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:01:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:01:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:02:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:02:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:02:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:03:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:03:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:03:50 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:04:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:04:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:04:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:05:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:05:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:05:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:06:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:06:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:06:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:07:09 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:07:29 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
