"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:00:50","Spurs","First Half","0","136.5","1.72","2.04","2","NBA"
"08:06:12","Spurs","First Half","4","140.5","1.85","1.88","1","NBA"
"08:10:49","Spurs","First Half","18","137.5","1.64","2.17","2.5","NBA"
"08:11:09","Spurs","First Half","18","137.5","1.64","2.17","2.5","NBA"
"08:11:22","Spurs","First Half","18","139.5","1.67","2.12","2.5","NBA"
"08:12:24","Spurs","First Half","18","139.5","1.67","2.12","2.5","NBA"
"08:12:45","Spurs","First Half","18","139.5","1.67","2.12","2.5","NBA"
"08:13:07","Spurs","First Half","18","139.5","1.67","2.12","2.5","NBA"
"08:15:27","Spurs","First Half","20","138.5","1.77","1.97","1.5","NBA"
"08:16:05","Spurs","First Half","20","136.5","1.89","1.84","0.5","NBA"
"08:16:19","Spurs","First Half","20","136.5","1.89","1.84","0.5","NBA"
"08:16:31","Spurs","First Half","23","136.5","1.89","1.84","0.5","NBA"
"08:16:43","Spurs","First Half","23","136.5","1.89","1.84","0.5","NBA"
"08:16:53","Spurs","First Half","23","136.5","1.89","1.84","0.5","NBA"
"08:17:15","Spurs","First Half","25","140.5","1.58","2.27","2.0","NBA"
