"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:41:13 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:33 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:59 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:13 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:38 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:52 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:14 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:37 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:58 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:17 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:34 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:53 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:19 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:32 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:56 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:46:18 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:46:38 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:46:51 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:17 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:37 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:53 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:20 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:33 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:59 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:49:13 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:49:32 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:49:52 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:50:13 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:50:38 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:50:53 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:51:17 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:51:32 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:51:55 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:19 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:32 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:56 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:18 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:34 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:58 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:15 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:37 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:53 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:55:17 AM","Mar 18-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:55:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:55:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:56:18 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:56:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:56:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:36 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:58:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:58:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:58:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:01:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:01:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:01:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:02:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:02:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:03:06 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:03:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:03:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:04:04 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:04:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:04:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:04:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:05:18 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:05:41 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:05:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:06:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:06:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:06:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:07:23 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:07:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:07:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:08:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:08:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:08:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:09:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:09:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:09:57 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:10:14 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"07:10:33 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"07:12:37 AM","1st 20:00","First Half","2","137.5","2.63","1.45","4.5","NCAA"
"07:12:52 AM","1st 20:00","First Half","2","137.5","2.63","1.45","4.5","NCAA"
"07:13:17 AM","1st 19:20","First Half","2","135.5","2.53","1.48","4.5","NCAA"
"07:13:36 AM","1st 19:20","First Half","2","135.5","2.53","1.48","4.5","NCAA"
"07:13:54 AM","1st 18:38","First Half","6","135.5","2.19","1.63","2.5","NCAA"
"07:14:14 AM","1st 18:38","First Half","6","135.5","2.19","1.63","2.5","NCAA"
"07:14:38 AM","1st 18:13","First Half","6","135.5","2.06","1.71","0.5","NCAA"
"07:14:54 AM","1st 17:19","First Half","6","135.5","2.06","1.71","0.5","NCAA"
"07:15:23 AM","1st 17:03","First Half","6","134.5","2.35","1.55","3.5","NCAA"
"07:15:42 AM","1st 17:03","First Half","6","134.5","2.35","1.55","3.5","NCAA"
"07:15:53 AM","1st 16:42","First Half","6","136.5","2.52","1.48","4.5","NCAA"
"07:16:19 AM","1st 16:23","First Half","6","136.5","2.52","1.48","4.5","NCAA"
"07:16:33 AM","1st 16:23","First Half","11","135.5","2.11","1.67","2.5","NCAA"
"07:16:57 AM","1st 16:10","First Half","11","135.5","2.11","1.67","2.5","NCAA"
"07:17:20 AM","1st 16:10","First Half","11","137.5","2.15","1.65","2.5","NCAA"
"07:17:39 AM","1st 15:54","First Half","11","137.5","2.15","1.65","2.5","NCAA"
"07:17:58 AM","1st 15:41","First Half","11","137.5","2.15","1.65","2.5","NCAA"
"07:18:16 AM","1st 15:41","First Half","11","137.5","2.15","1.65","2.5","NCAA"
"07:18:36 AM","1st 15:41","First Half","11","137.5","2.15","1.65","2.5","NCAA"
"07:18:55 AM","1st 15:41","First Half","11","137.5","2.15","1.65","2.5","NCAA"
"07:19:15 AM","1st 15:41","First Half","11","137.5","2.15","1.65","2.5","NCAA"
"07:19:43 AM","1st 15:41","First Half","11","137.5","2.15","1.65","2.5","NCAA"
"07:20:01 AM","1st 15:41","First Half","11","134.5","2.26","1.59","2.5","NCAA"
"07:20:16 AM","1st 15:41","First Half","11","134.5","2.26","1.59","2.5","NCAA"
"07:20:39 AM","1st 15:41","First Half","11","137.5","2.23","1.61","3.5","NCAA"
"07:20:53 AM","1st 15:41","First Half","11","137.5","2.23","1.61","3.5","NCAA"
"07:21:15 AM","1st 15:41","First Half","11","137.5","2.26","1.59","3.5","NCAA"
"07:21:38 AM","1st 15:18","First Half","11","137.5","2.26","1.59","3.5","NCAA"
"07:21:53 AM","1st 15:18","First Half","11","137.5","2.39","1.53","3.5","NCAA"
"07:22:16 AM","1st 15:18","First Half","12","137.5","2.39","1.53","3.5","NCAA"
"07:22:33 AM","1st 15:18","First Half","12","138.5","2.13","1.66","2.5","NCAA"
"07:22:56 AM","1st 15:03","First Half","12","138.5","2.13","1.66","2.5","NCAA"
"07:23:21 AM","1st 14:48","First Half","12","138.5","2.13","1.66","2.5","NCAA"
"07:23:33 AM","1st 14:48","First Half","14","138.5","2.13","1.66","2.5","NCAA"
"07:23:56 AM","1st 14:37","First Half","14","140.5","2.3","1.57","3.5","NCAA"
"07:24:16 AM","1st 14:37","First Half","14","140.5","2.3","1.57","3.5","NCAA"
"07:24:33 AM","1st 14:08","First Half","14","140.5","2.41","1.52","3.5","NCAA"
"07:24:57 AM","1st 14:08","First Half","22","140.5","2.41","1.52","3.5","NCAA"
"07:25:27 AM","1st 13:29","First Half","22","141.5","2.65","1.44","4.5","NCAA"
"07:25:36 AM","1st 13:29","First Half","22","141.5","2.65","1.44","4.5","NCAA"
"07:25:59 AM","1st 13:09","First Half","22","140.5","2.5","1.49","4.5","NCAA"
"07:26:14 AM","1st 13:09","First Half","22","140.5","2.5","1.49","4.5","NCAA"
"07:26:37 AM","1st 13:09","First Half","22","141.5","2.32","1.56","3.5","NCAA"
"07:27:01 AM","1st 13:09","First Half","22","141.5","2.32","1.56","3.5","NCAA"
"07:27:17 AM","1st 12:44","First Half","24","139.5","2.13","1.66","2.5","NCAA"
"07:27:42 AM","1st 12:15","First Half","24","139.5","2.13","1.66","2.5","NCAA"
"07:27:58 AM","1st 12:15","First Half","24","141.5","2.67","1.44","4.5","NCAA"
"07:28:42 AM","1st 12:06","First Half","24","141.5","2.67","1.44","4.5","NCAA"
"07:28:58 AM","1st 11:44","First Half","27","141.5","2.67","1.44","4.5","NCAA"
"07:29:21 AM","1st 11:44","First Half","27","141.5","2.67","1.44","4.5","NCAA"
"07:29:36 AM","1st 11:44","First Half","27","141.5","2.67","1.44","4.5","NCAA"
"07:29:55 AM","1st 11:44","First Half","27","141.5","2.67","1.44","4.5","NCAA"
"07:30:24 AM","1st 11:44","First Half","27","141.5","2.67","1.44","4.5","NCAA"
"07:30:43 AM","1st 11:44","First Half","27","141.5","2.57","1.47","3.5","NCAA"
"07:31:01 AM","1st 11:44","First Half","27","141.5","2.57","1.47","3.5","NCAA"
"07:31:20 AM","1st 11:44","First Half","27","140.5","2.65","1.44","5.5","NCAA"
"07:31:36 AM","1st 11:44","First Half","29","140.5","2.65","1.44","5.5","NCAA"
"07:32:00 AM","1st 11:44","First Half","29","142.5","2.9","1.38","5.5","NCAA"
"07:32:14 AM","1st 11:28","First Half","29","142.5","2.9","1.38","5.5","NCAA"
"07:32:38 AM","1st 10:48","First Half","29","143.5","3.18","1.33","6.5","NCAA"
"07:32:56 AM","1st 10:48","First Half","29","143.5","3.18","1.33","6.5","NCAA"
"07:33:15 AM","1st 10:08","First Half","34","143.5","3.18","1.33","6.5","NCAA"
"07:33:34 AM","1st 10:08","First Half","34","143.5","3.18","1.33","6.5","NCAA"
"07:33:59 AM","1st 10:08","First Half","34","143.5","3.18","1.33","6.5","NCAA"
"07:34:13 AM","1st 10:08","First Half","34","143.5","3.18","1.33","6.5","NCAA"
"07:34:37 AM","1st 10:08","First Half","34","143.5","3.18","1.33","6.5","NCAA"
"07:34:52 AM","1st 10:08","First Half","34","143.5","3.18","1.33","6.5","NCAA"
"07:35:22 AM","1st 10:08","First Half","34","143.5","3.18","1.33","6.5","NCAA"
"07:35:39 AM","1st 10:08","First Half","34","143.5","3.18","1.33","6.5","NCAA"
"07:35:55 AM","1st 10:08","First Half","34","144.5","3.07","1.34","6.5","NCAA"
"07:36:22 AM","1st 10:08","First Half","34","144.5","3.07","1.34","6.5","NCAA"
"07:36:36 AM","1st 10:08","First Half","34","145.5","3.13","1.33","6.5","NCAA"
"07:36:54 AM","1st 10:02","First Half","34","145.5","3.13","1.33","6.5","NCAA"
"07:37:22 AM","1st 9:48","First Half","36","144.5","3.14","1.33","6.5","NCAA"
"07:37:37 AM","1st 9:48","First Half","36","144.5","3.14","1.33","6.5","NCAA"
"07:38:01 AM","1st 9:26","First Half","36","142.5","3.31","1.3","6.5","NCAA"
"07:38:14 AM","1st 9:26","First Half","36","142.5","3.31","1.3","6.5","NCAA"
"07:38:35 AM","1st 9:19","First Half","36","142.5","2.97","1.36","5.5","NCAA"
"07:38:58 AM","1st 8:54","First Half","36","142.5","2.97","1.36","5.5","NCAA"
"07:39:14 AM","1st 8:54","First Half","36","143.5","2.58","1.46","4.5","NCAA"
"07:39:33 AM","1st 8:54","First Half","36","143.5","2.58","1.46","4.5","NCAA"
"07:39:57 AM","1st 8:54","First Half","37","142.5","2.91","1.38","5.5","NCAA"
"07:40:16 AM","1st 8:30","First Half","37","142.5","2.91","1.38","5.5","NCAA"
"07:40:36 AM","1st 8:30","First Half","37","142.5","3.14","1.33","5.5","NCAA"
"07:40:53 AM","1st 8:30","First Half","39","142.5","3.14","1.33","5.5","NCAA"
"07:41:12 AM","1st 8:09","First Half","39","143.5","3.7","1.25","7.5","NCAA"
"07:41:37 AM","1st 7:30","First Half","39","143.5","3.7","1.25","7.5","NCAA"
"07:41:53 AM","1st 7:30","First Half","39","142.5","3.31","1.3","6.5","NCAA"
