"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:41:26",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:41",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:58",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:12",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:26",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:42",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:56",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:13",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:28",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:45",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:57",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:16",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:27",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:44",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:55",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:11",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:27",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:43",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:57",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:13",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:27",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:45",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:59",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:15",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:30",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:49",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:02",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:24",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:38",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:55",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:09",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:25",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:39",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:58","NA","NA","NA",NA,NA,NA,NA,"NBA"
