"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:10:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:11:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:11:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:12:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:12:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:12:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:20:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:20:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:23:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:23:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:23:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:24:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:24:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:24:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:25:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:25:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:25:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:26:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:26:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:26:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:27:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:27:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:28:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:28:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:28:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:28:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:29:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:29:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:29:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:30:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:30:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:31:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:31:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:31:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:31:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:32:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:32:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
