"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:40:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:10 AM","Hornets",NA,NA,NA,NA,NA,NA,"NBA"
"08:10:30 AM","Hornets",NA,NA,NA,NA,NA,NA,"NBA"
"08:10:52 AM","Hornets",NA,NA,"211","2.85","1.4","6","NBA"
"08:11:09 AM","Hornets",NA,NA,"211","2.85","1.4","6","NBA"
"08:11:32 AM","12:00 1st",NA,NA,"211","2.85","1.4","6","NBA"
"08:11:49 AM","12:00 1st",NA,NA,"211","2.85","1.4","6","NBA"
"08:12:11 AM","11:30 1st",NA,NA,"211.5","3.2","1.32","6","NBA"
"08:12:33 AM","10:50 1st",NA,NA,"211.5","3.2","1.32","6","NBA"
"08:12:48 AM","10:50 1st",NA,NA,"211.5","3.2","1.32","6","NBA"
"08:13:11 AM","10:23 1st",NA,NA,"211.5","3.2","1.32","6","NBA"
"08:13:36 AM","10:16 1st",NA,NA,"205.5","3.25","1.32","7","NBA"
"08:13:53 AM","10:16 1st",NA,NA,"207.5","3.3","1.3","7","NBA"
"08:14:09 AM","10:16 1st",NA,NA,"207.5","3.3","1.3","7","NBA"
"08:14:34 AM","10:16 1st","Q1","4","208.5","4","1.22","8","NBA"
"08:14:52 AM","9:54 1st","Q1","4","208.5","4","1.22","8","NBA"
"08:15:12 AM","9:36 1st","Q1","4","207.5","4","1.22","8","NBA"
"08:15:32 AM","9:36 1st","Q1","4","207.5","4","1.22","8","NBA"
"08:15:51 AM","9:11 1st","Q1","4","210.5","4.2","1.2","9","NBA"
"08:16:12 AM","9:11 1st","Q1","10","210.5","4.2","1.2","9","NBA"
"08:16:30 AM","8:59 1st","Q1","10","210.5","4","1.22","8","NBA"
"08:16:49 AM","8:59 1st","Q1","10","210.5","4","1.22","8","NBA"
"08:17:13 AM","8:59 1st","Q1","10","208.5","4","1.22","8","NBA"
"08:17:29 AM","8:35 1st","Q1","11","208.5","4","1.22","8","NBA"
"08:17:48 AM","8:23 1st","Q1","11","208.5","3.6","1.26","7","NBA"
"08:18:09 AM","7:50 1st","Q1","11","208.5","3.6","1.26","7","NBA"
"08:18:29 AM","7:28 1st","Q1","17","207.5","4","1.22","8","NBA"
"08:18:52 AM","7:18 1st","Q1","17","207.5","4","1.22","8","NBA"
"08:19:10 AM","7:18 1st","Q1","17","209.5","4","1.22","8","NBA"
