"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:11:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:11:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:11:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:12:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:12:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:12:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:20:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:20:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:20:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:23:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:23:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:24:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:24:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:24:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:24:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:25:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:25:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:25:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:26:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:26:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:26:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:27:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:27:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:27:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:28:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:28:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:28:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:29:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:29:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:29:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:30:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:30:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:31:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:31:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:31:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:32:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:32:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:32:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:33:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:33:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:33:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:33:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:34:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:34:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:34:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:35:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:35:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:35:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:36:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:36:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:36:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:37:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:37:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:38:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:38:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:38:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:39:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:39:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:39:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:39:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:40:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:41:17 AM","11:31 1st",NA,NA,"213","1.3","3.3","8","NBA"
"10:41:37 AM","11:31 1st",NA,NA,"213","1.3","3.3","8","NBA"
"10:41:58 AM","11:22 1st",NA,NA,"215.5","1.19","4.3","9","NBA"
"10:42:25 AM","10:45 1st",NA,NA,"215.5","1.19","4.3","9","NBA"
"10:42:38 AM","10:33 1st",NA,NA,"213.5","1.22","4","8","NBA"
"10:43:00 AM","10:33 1st",NA,NA,"213.5","1.22","4","8","NBA"
"10:43:20 AM","10:14 1st","Q1","11","215.5","1.32","3.25","7","NBA"
"10:43:36 AM","9:42 1st","Q1","11","215.5","1.32","3.25","7","NBA"
"10:43:58 AM","10:07 1st","Q1","11","216.5","1.32","3.25","6","NBA"
"10:44:19 AM","9:42 1st","Q1","11","216.5","1.32","3.25","6","NBA"
"10:44:39 AM","8:58 1st","Q1","11","218.5","1.3","3.3","7","NBA"
"10:44:55 AM","8:58 1st","Q1","20","218.5","1.3","3.3","7","NBA"
"10:45:22 AM","9:11 1st","Q1","20","217.5","1.36","3","6","NBA"
"10:45:44 AM","7:50 1st","Q1","20","217.5","1.36","3","6","NBA"
"10:45:54 AM","7:35 1st","Q1","20","217.5","1.36","3","6","NBA"
"10:46:18 AM","7:35 1st","Q1","22","218.5","1.32","3.2","6","NBA"
"10:46:43 AM","7:17 1st","Q1","22","218.5","1.32","3.2","6","NBA"
"10:46:55 AM","7:17 1st","Q1","22","215.5","1.36","3","6","NBA"
"10:47:20 AM","6:32 1st","Q1","22","215.5","1.36","3","6","NBA"
