"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:40:41 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:41:00 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:41:25 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:41:51 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:42:02 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:42:21 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:42:48 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:43:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
