"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:40:42",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:01",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:20",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:35",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:55",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:14",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:29",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:44",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:00",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:15",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:31",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:51",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:05",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:23",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:37",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:51",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:06",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:20",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:33",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:49",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:02",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:16",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:29",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:43",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:56",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:11",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:24",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:46",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:01",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:14",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:27",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:40",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:54",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:10",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:22",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:37",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:50",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:04",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:17",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:34",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:48",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:05",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:21",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:37",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:57",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:12",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:31",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:46",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:06",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:22",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:37",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:52",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:10",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:26",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:42",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:58",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:15",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:32",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:50",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:11",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:28",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:46",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:02",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:17",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:32",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:44",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:57",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:15",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:28",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:41",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:59",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:16",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:34",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:48",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:04",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:18",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:32",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:46",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:00",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:14",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:30",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:43",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:56",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:09",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:26",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:37",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:59",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:19",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:33",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:50",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:06",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:24",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:44",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:00",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:18",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:23",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:18",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:45",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:16",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:43",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:09:11",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:09:34",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:09:59",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:10:22",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:10:47",NA,NA,NA,"198.5","3.3","1.3","7","NBA"
"10:11:15","Suns",NA,NA,"198.5","3.3","1.3","7","NBA"
"10:11:39","11:39 1st",NA,NA,"198.5","3.3","1.3","7","NBA"
"10:12:12","10:53 1st",NA,NA,"198.5","3.3","1.3","7","NBA"
"10:12:44","10:53 1st",NA,NA,"198.5","3.3","1.3","7","NBA"
"10:13:13","10:19 1st",NA,NA,"198.5","3.6","1.26","7","NBA"
"10:13:42","10:19 1st",NA,NA,"198.5","3.6","1.26","7","NBA"
"10:14:17","9:40 1st",NA,NA,"195.5","3.6","1.26","7","NBA"
"10:14:45","9:21 1st",NA,NA,"193.5","3.6","1.26","7","NBA"
"10:15:17","9:21 1st",NA,NA,"195.5","3.6","1.26","7","NBA"
"10:15:47","11:14 1st",NA,NA,"196.5","3.3","1.3","7","NBA"
"10:16:18","8:54 1st","Q1","11","197.5","3.3","1.3","7","NBA"
"10:16:41","8:54 1st","Q1","11","197.5","3.3","1.3","7","NBA"
"10:45:45","9:37 2nd","Q2","65","201.5","4","1.22","7","NBA"
"10:46:07","9:00 2nd","Q2","65","201.5","4","1.22","7","NBA"
"10:46:28","8:32 2nd","Q2","67","199.5","4.3","1.19","8","NBA"
"10:46:52","7:29 2nd","Q2","69","199.5","4.3","1.19","8","NBA"
"10:47:19","7:29 2nd","Q2","69","198.5","4.2","1.2","7","NBA"
"10:47:45","7:29 2nd","Q2","69","198.5","4.2","1.2","7","NBA"
"10:48:07","7:03 2nd","Q2","69","196.5","4","1.22","7","NBA"
"10:48:29","6:35 2nd","Q2","69","196.5","4.3","1.19","8","NBA"
"10:48:52","6:35 2nd","Q2","70","196.5","4.3","1.19","8","NBA"
"10:49:12","6:35 2nd","Q2","70","198.5","4","1.22","7","NBA"
"10:49:43","6:35 2nd","Q2","74","197.5","4.1","1.2","7","NBA"
"10:50:09","6:35 2nd","Q2","77","197.5","4.1","1.2","7","NBA"
"11:07:12","Half","Q2","104","202.5","14","1.01","18","NBA"
"11:07:36","Half","Q2","104","202.5","14","1.01","18","NBA"
"11:08:05","Half","Q2","104","202.5","14","1.01","18","NBA"
"11:08:35","Half","Q2","104","202.5","14","1.01","18","NBA"
"11:08:53","Half","Q2","104","202.5","14","1.01","18","NBA"
"11:09:15","Half","Q2","104","202.5","14","1.01","18","NBA"
"11:09:38","Half","Q2","104","202.5","14","1.01","18","NBA"
"11:35:12","5:55 3rd","Q3","122","192.5",NA,NA,"20","NBA"
"11:35:33","5:21 3rd","Q3","125","192.5",NA,NA,"20","NBA"
"11:35:54","4:35 3rd","Q3","125","192.5",NA,NA,"23","NBA"
"11:36:16","4:35 3rd","Q3","125","191.5",NA,NA,"23","NBA"
"11:36:30","4:20 3rd","Q3","125","191.5",NA,NA,"23","NBA"
"11:36:51","3:43 3rd","Q3","127","190.5",NA,NA,"22","NBA"
"11:37:13","4:20 3rd","Q3","127","189.5",NA,NA,"22","NBA"
"11:37:36","3:24 3rd","Q3","127","189.5",NA,NA,"22","NBA"
"11:37:58","3:10 3rd","Q3","132","191.5",NA,NA,"22","NBA"
"11:38:21","2:48 3rd","Q3","132","191.5",NA,NA,"22","NBA"
"11:38:39","2:32 3rd","Q3","132","191.5",NA,NA,"22","NBA"
"11:39:00","2:32 3rd","Q3","132","191.5","","","22.0","NBA"
