"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:11:23 AM","Wizards",NA,NA,NA,NA,NA,NA,"NBA"
"07:11:45 AM","Wizards",NA,NA,NA,NA,NA,NA,"NBA"
"07:12:12 AM","Wizards",NA,NA,NA,NA,NA,NA,"NBA"
"07:12:32 AM","Wizards",NA,NA,NA,NA,NA,NA,"NBA"
"07:13:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:14:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:14:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:14:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:20:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:20:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:20:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:21:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:21:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:21:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:22:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:22:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:22:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:23:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:23:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:23:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:24:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:24:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:24:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:25:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:25:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:25:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:26:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:26:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:26:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:27:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:27:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:27:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:28:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:28:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:28:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:29:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:29:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:29:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:30:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:30:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:30:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:31:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:31:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:31:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:32:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:32:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:32:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:33:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:33:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:33:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:34:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:34:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:34:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:35:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:35:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:35:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:36:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:36:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:36:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:37:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:37:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:37:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:38:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:38:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:38:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:39:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
