"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:59:58",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:04",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:08",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:15",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:22",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:29",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:34",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:41",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:47",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:51",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:57",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:02",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:06",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:10",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:17",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:21",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:27",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:35",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:44",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:50",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:55",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:59",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:03",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:12",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:16",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:20",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:26",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:32",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:37",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:40",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:49",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:53",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:58",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:03",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:07",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:11",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:19",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:23",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:27",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:35",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:38",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:47",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:52",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:57",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:03",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:07",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:12",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:16",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:21",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:26",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:30",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:34",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:40",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:45",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:49",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:54",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:00",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:08",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:12",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:19",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:26",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:32",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:38",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:45",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:52",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:59",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:06",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:17",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:23",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:30",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:35",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:41",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:51",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:56",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:02",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:08",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:43",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:48",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:52",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:57",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:06",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:11",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:15",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:19",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:28",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:33",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:50","11:43 1st",NA,NA,"215.5","3.2","1.32","7","NBA"
"08:11:59","11:26 1st",NA,NA,"215.5","3.2","1.32","7","NBA"
"08:12:07","11:26 1st",NA,NA,"215.5","3.2","1.32","7","NBA"
"08:12:17","11:26 1st",NA,NA,"215.5","3.2","1.32","7","NBA"
"08:12:26","11:14 1st",NA,NA,"215.5","3.2","1.32","7","NBA"
"08:12:34","11:14 1st",NA,NA,"215.5","3.2","1.32","7","NBA"
"08:12:42",NA,NA,NA,"215.5","3.2","1.32","7","NBA"
"08:12:52","11:14 1st",NA,NA,"215.5","3.2","1.32","7","NBA"
"08:13:04","11:14 1st",NA,NA,"215.5","3.25","1.32","7","NBA"
"08:13:14","11:14 1st",NA,NA,"215.5","3.25","1.32","7","NBA"
"08:13:30","11:14 1st",NA,NA,"215.5","3.25","1.32","7","NBA"
"08:13:41","10:23 1st",NA,NA,"213.5","2.85","1.4","5","NBA"
