"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:33:15","1:19 2nd","Q2","98","202.5","2.85","1.4","4","NBA"
"09:34:37",":51.6 2nd","Q2","100","204.5","2.45","1.52","3","NBA"
"09:34:54",":29.8 2nd","Q2","100","204.5","2.45","1.52","3","NBA"
"09:35:04",":29.8 2nd","Q2","100","204.5","2.45","1.52","3","NBA"
"09:35:24",":29.8 2nd","Q2","100","205.5","2.6","1.46","4","NBA"
"09:35:40",":29.8 2nd","Q2","102","205.5","2.6","1.46","4","NBA"
"09:35:54",":29.8 2nd","Q2","102","207.5","2.25","1.6","3","NBA"
"09:36:04",":29.8 2nd","Q2","102","207.5","2.25","1.6","3","NBA"
"09:36:20",":29.8 2nd","Q2","103","207.5","2.25","1.6","3","NBA"
"09:36:30",":29.8 2nd","Q2","103","209.5","2.6","1.48","4","NBA"
"09:36:47",":29.8 2nd","Q2","105","209.5","2.6","1.48","4","NBA"
"09:36:57",":29.8 2nd","Q2","105","209.5","2.6","1.48","4","NBA"
"09:37:08","Half","Q2","105","209.5","2.6","1.48","4","NBA"
"09:37:21","Half","Q2","105","209.5","2.6","1.48","4","NBA"
"09:37:34","Half","Q2","105","209.5","2.6","1.48","4","NBA"
"09:37:51","Half","Q2","105","209.5","2.6","1.48","4","NBA"
"09:38:10","Half","Q2","105","209.5","2.6","1.48","4","NBA"
"09:38:29","Half","Q2","105","209.5","2.6","1.48","4","NBA"
"09:38:41","Half","Q2","105","209.5","2.6","1.48","4","NBA"
"09:38:57","Half","Q2","105","209.5","2.6","1.48","4","NBA"
"09:39:09","Half","Q2","105","209.5","2.6","1.48","4","NBA"
"09:39:25","Half","Q2","105","208.5","2.6","1.46","4","NBA"
"09:39:37","Half","Q2","105","208.5","2.6","1.46","4","NBA"
"09:39:52","Half","Q2","105","208.5","2.6","1.46","4","NBA"
"09:40:04","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:40:17","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:40:32","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:40:46","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:41:04","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:41:26","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:41:41","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:41:58","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:42:12","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:42:26","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:42:42","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:42:56","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:43:13","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:43:28","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:43:45","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:43:57","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:44:16","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:44:27","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:44:43","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:44:55","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:45:11","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:45:27","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:45:43","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:45:57","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:46:13","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:46:27","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:46:44","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:46:59","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:47:15","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:47:30","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:47:49","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:48:02","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:48:23","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:48:38","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:48:55","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:49:09","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:49:25","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:49:39","Half","Q2","105","207.5","2.7","1.44","4","NBA"
"09:49:58","Half","Q2","105","207.5","2.70","1.44","4.0","NBA"
