"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:40:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
