"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:40:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
