"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:41:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
