"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:40:54 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"08:41:26 AM","Mavericks",NA,NA,NA,NA,NA,NA,"NBA"
"08:41:38 AM","Mavericks",NA,NA,NA,NA,NA,NA,"NBA"
"08:41:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
