"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:10:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
