"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"04:28:26 AM","Mar 9-2:00 PM CT","First Half","1","131","2.33","1.56","3.5","NCAA"
"04:28:49 AM","Mar 9-2:00 PM CT","First Half","2","131","2.33","1.56","3.5","NCAA"
"04:29:03 AM","Mar 9-2:00 PM CT","First Half","2","129","2.44","1.51","4.5","NCAA"
"04:29:25 AM","Mar 9-2:00 PM CT","First Half","2","129","2.44","1.51","4.5","NCAA"
"04:29:39 AM","Mar 9-2:00 PM CT","First Half","2","128.5","2.26","1.59","2.5","NCAA"
"04:30:06 AM","Mar 9-2:00 PM CT","First Half","2","128.5","2.26","1.59","2.5","NCAA"
"04:30:30 AM","Mar 9-2:00 PM CT","First Half","6","130","2.29","1.58","3.5","NCAA"
"04:30:45 AM","Mar 9-2:00 PM CT","First Half","6","130","2.29","1.58","3.5","NCAA"
"04:31:11 AM","Mar 9-2:00 PM CT","First Half","10","132","2.24","1.6","3.5","NCAA"
"04:31:25 AM","1st 20:00","First Half","10","132","2.24","1.6","3.5","NCAA"
"04:31:48 AM","1st 20:00","First Half","10","131.5","2.24","1.6","3.5","NCAA"
"04:32:02 AM","1st 18:19","First Half","10","131.5","2.24","1.6","3.5","NCAA"
"04:32:26 AM","1st 18:19","First Half","10","131","2.75","1.41","5.5","NCAA"
"04:32:46 AM","1st 17:18","First Half","11","131","2.75","1.41","5.5","NCAA"
"04:33:08 AM","1st 17:18","First Half","13","134.5","2.39","1.53","3.5","NCAA"
"04:33:26 AM","1st 17:18","First Half","13","134.5","2.39","1.53","3.5","NCAA"
"04:33:50 AM","1st 17:18","First Half","13","132.5","2.08","1.69","0.5","NCAA"
"04:34:11 AM","1st 17:18","First Half","13","132.5","2.08","1.69","0.5","NCAA"
"04:34:31 AM","1st 17:05","First Half","13","132","2.39","1.53","3.5","NCAA"
"04:34:53 AM","1st 17:05","First Half","13","132","2.39","1.53","3.5","NCAA"
"04:35:10 AM","1st 16:25","First Half","15","133","2.42","1.52","3.5","NCAA"
"04:35:31 AM","1st 16:25","First Half","15","133","2.42","1.52","3.5","NCAA"
"04:35:50 AM","1st 16:25","First Half","15","131.5","2.56","1.47","4.5","NCAA"
"04:36:17 AM","1st 16:01","First Half","18","131.5","2.56","1.47","4.5","NCAA"
"04:36:31 AM","1st 16:01","First Half","18","135.5","3.24","1.31","6.5","NCAA"
"04:36:52 AM","1st 16:01","First Half","18","135.5","3.24","1.31","6.5","NCAA"
"04:37:15 AM",NA,"First Half","18","135.5","3.24","1.31","6.5","NCAA"
"04:37:31 AM","1st 16:01","First Half","18","135.5","3.24","1.31","6.5","NCAA"
"04:37:53 AM","1st 16:01","First Half","18","135.5","3.24","1.31","6.5","NCAA"
"04:38:11 AM","1st 16:09","First Half","18","135.5","3.24","1.31","6.5","NCAA"
"04:38:32 AM","1st 16:09","First Half","18","135.5","3.24","1.31","6.5","NCAA"
"04:38:55 AM","1st 14:59","First Half","18","135.5","3.24","1.31","6.5","NCAA"
"04:39:12 AM","1st 14:59","First Half","18","134.5","2.99","1.36","6.5","NCAA"
"04:39:32 AM","1st 14:59","First Half","18","134.5","2.99","1.36","6.5","NCAA"
"04:39:52 AM","1st 14:59","First Half","18","133","2.98","1.36","6.5","NCAA"
"04:40:10 AM","1st 14:59","First Half","18","133","2.98","1.36","6.5","NCAA"
"04:40:30 AM","1st 14:59","First Half","20","135","3.05","1.35","6.5","NCAA"
"04:40:53 AM","1st 14:59","First Half","22","135","3.05","1.35","6.5","NCAA"
"04:41:11 AM","1st 14:59","First Half","22","135","3.45","1.28","7.5","NCAA"
"04:41:32 AM","1st 14:59","First Half","24","135","3.45","1.28","7.5","NCAA"
"04:41:50 AM","1st 14:22","First Half","25","135.5","3.32","1.3","6.5","NCAA"
"04:42:15 AM","1st 14:22","First Half","25","135.5","3.32","1.3","6.5","NCAA"
"04:42:33 AM","1st 13:29","First Half","25","136","3.32","1.3","7.5","NCAA"
"04:42:57 AM","1st 13:08","First Half","25","136","3.32","1.3","7.5","NCAA"
"04:43:11 AM","1st 13:08","First Half","25","135","3.35","1.28","7.5","NCAA"
"04:43:26 AM","1st 13:08","First Half","25","135","3.35","1.28","7.5","NCAA"
"04:43:50 AM","1st 12:54","First Half","25","135","3.35","1.28","7.5","NCAA"
