"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:41:40 AM","1st 20:00",NA,NA,"132.5","1.93","1.8","0.5","NCAA"
"06:41:58 AM","1st 20:00",NA,NA,"132.5","1.93","1.8","0.5","NCAA"
"06:42:18 AM","1st 20:00","First Half","0","132.5","1.93","1.8","0.5","NCAA"
"06:42:37 AM","1st 20:00","First Half","0","132.5","1.93","1.8","0.5","NCAA"
"06:42:56 AM","1st 19:45","First Half","0","132.5","1.76","1.98","1.5","NCAA"
"06:43:14 AM","1st 19:25","First Half","0","132.5","1.76","1.98","1.5","NCAA"
"06:43:34 AM","1st 19:12","First Half","0","132.5","2.02","1.73","0.5","NCAA"
"06:43:55 AM","1st 19:12","First Half","0","132.5","2.02","1.73","0.5","NCAA"
"06:44:18 AM","1st 19:12","First Half","0","132.5","1.76","1.99","0.5","NCAA"
"06:44:38 AM","1st 19:12","First Half","0","129.5","1.91","1.82","0.5","NCAA"
"06:44:55 AM","1st 18:07","First Half","0","129.5","1.91","1.82","0.5","NCAA"
"06:45:19 AM","1st 18:07","First Half","0","131.5","1.89","1.84","0.5","NCAA"
"06:45:37 AM","1st 17:59","First Half","0","131.5","1.89","1.84","0.5","NCAA"
"06:45:58 AM","1st 17:35","First Half","0","131.5","1.71","2.05","2","NCAA"
"06:46:19 AM","1st 17:14","First Half","4","131.5","1.71","2.05","2","NCAA"
"06:46:39 AM","1st 17:00","First Half","4","131.5","1.87","1.86","0.5","NCAA"
"06:46:59 AM","1st 17:00","First Half","4","131.5","1.87","1.86","0.5","NCAA"
"06:47:16 AM","1st 17:00","First Half","4","134.5","1.58","2.27","2.5","NCAA"
"06:47:40 AM","1st 16:34","First Half","10","134.5","1.58","2.27","2.5","NCAA"
"06:48:00 AM","1st 16:31","First Half","10","135.5","1.85","1.88","1.5","NCAA"
"06:48:21 AM","1st 16:31","First Half","10","135.5","1.85","1.88","1.5","NCAA"
"06:48:36 AM","1st 16:20","First Half","10","133.5","1.92","1.81","0.5","NCAA"
"06:48:57 AM","1st 16:20","First Half","10","133.5","1.92","1.81","0.5","NCAA"
"06:49:19 AM","1st 16:04","First Half","11","135.5","2.17","1.64","2.5","NCAA"
