"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:40:51 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:11 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:31 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:53 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:12 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:30 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:51 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:10 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:33 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:50 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:13 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:33 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:56 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:11 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:32 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:52 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:46:12 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:46:31 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:46:50 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:09 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:30 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:49 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:11 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:29 AM","Mar 16-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
