"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"12:10:54 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:11:11 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:11:32 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:11:50 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:12:09 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:12:28 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:12:49 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:13:09 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:13:30 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:13:49 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:14:13 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:14:31 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:14:48 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:15:11 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:15:28 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:15:47 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:16:16 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:16:30 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:16:47 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:17:10 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:17:32 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:17:54 AM","Mar 17-11:40 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
