"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:10:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:36:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:36:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:36:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:37:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:37:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:37:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:38:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:38:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:38:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:39:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:39:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:40:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:40:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:40:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:52 AM",NA,NA,NA,"204.5","1.72","2.05","3","NBA"
"09:42:15 AM",NA,NA,NA,"204.5","1.72","2.05","3","NBA"
"09:42:36 AM",NA,NA,NA,"204.5","1.72","2.05","3","NBA"
"09:42:51 AM",NA,NA,NA,"204.5","1.72","2.05","3","NBA"
"09:43:18 AM",NA,NA,NA,"204.5","1.72","2.05","3","NBA"
"09:43:36 AM",NA,NA,NA,"205.5","1.6","2.25","3","NBA"
"09:43:52 AM",NA,NA,NA,"205.5","1.6","2.25","3","NBA"
"09:44:17 AM",NA,NA,NA,"207.5","1.62","2.25","3","NBA"
"09:44:32 AM",NA,"Q1","10","207.5","1.62","2.25","3","NBA"
"09:44:52 AM",NA,"Q1","10","212.5","1.32","3.2","6","NBA"
"09:45:13 AM",NA,"Q1","10","212.5","1.32","3.2","6","NBA"
"09:45:37 AM",NA,"Q1","10","211.5","1.32","3.2","6","NBA"
"09:45:56 AM",NA,"Q1","10","211.5","1.32","3.2","6","NBA"
"09:46:17 AM",NA,"Q1","15","211.5","1.32","3.2","6","NBA"
"09:46:34 AM",NA,"Q1","15","211.5","1.32","3.2","6","NBA"
"09:46:53 AM",NA,"Q1","15","210.5","1.3","3.3","7","NBA"
"09:47:18 AM",NA,"Q1","19","210.5","1.3","3.3","7","NBA"
"09:47:31 AM",NA,"Q1","19","214.5","1.32","3.2","6","NBA"
"09:47:53 AM",NA,"Q1","19","214.5","1.32","3.2","6","NBA"
"09:48:14 AM",NA,"Q1","19","213.5","1.42","2.75","5","NBA"
"09:48:33 AM",NA,"Q1","19","213.5","1.42","2.75","5","NBA"
"09:48:56 AM",NA,"Q1","23","210.5","1.42","2.75","5","NBA"
"09:49:20 AM",NA,"Q1","23","210.5","1.42","2.75","5","NBA"
"09:49:36 AM",NA,"Q1","23","210.5","1.42","2.75","5","NBA"
"09:49:56 AM",NA,"Q1","23","210.5","1.42","2.75","5","NBA"
"09:50:20 AM",NA,"Q1","23","207.5","1.42","2.75","5","NBA"
"09:50:36 AM",NA,"Q1","23","207.5","1.42","2.75","5","NBA"
"09:50:55 AM",NA,"Q1","23","208.5","1.42","2.75","5","NBA"
"09:51:16 AM",NA,"Q1","25","208.5","1.42","2.75","5","NBA"
"09:51:37 AM",NA,"Q1","25","208.5","1.4","2.85","6","NBA"
"09:51:55 AM",NA,"Q1","25","208.5","1.4","2.85","6","NBA"
"09:52:13 AM",NA,"Q1","25","208.5","1.4","2.85","6","NBA"
"09:52:36 AM",NA,"Q1","25","208.5","1.4","2.85","6","NBA"
"09:52:52 AM",NA,"Q1","25","212.5","1.36","3","6","NBA"
"09:53:18 AM",NA,"Q1","25","212.5","1.36","3","6","NBA"
"09:53:34 AM",NA,"Q1","25","211.5","1.3","3.3","7","NBA"
"09:53:52 AM",NA,"Q1","25","211.5","1.3","3.3","7","NBA"
"09:54:14 AM",NA,"Q1","32","208.5","1.3","3.3","7","NBA"
"09:54:37 AM",NA,"Q1","32","208.5","1.3","3.3","7","NBA"
"09:54:55 AM",NA,"Q1","32","204.5","1.3","3.3","7","NBA"
"09:55:14 AM",NA,"Q1","32","204.5","1.3","3.3","7","NBA"
"09:55:37 AM",NA,"Q1","35","207.5","1.32","3.25","7","NBA"
"09:55:54 AM",NA,"Q1","35","207.5","1.32","3.25","7","NBA"
"09:56:14 AM",NA,"Q1","35","206.5","1.32","3.2","6","NBA"
"09:56:32 AM",NA,"Q1","35","206.5","1.32","3.2","6","NBA"
"09:56:54 AM",NA,"Q1","39","203.5","1.32","3.2","6","NBA"
"09:57:14 AM",NA,"Q1","39","203.5","1.32","3.2","6","NBA"
"09:57:32 AM",NA,"Q1","39","206.5","1.36","3","6","NBA"
"09:57:51 AM",NA,"Q1","39","206.5","1.36","3","6","NBA"
