"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:40:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:26 AM","NA","NA","NA",NA,NA,NA,NA,"NBA"
