"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:41:36 AM","3:47 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:41:51 AM","3:47 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:42:10 AM","3:47 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:42:30 AM","3:47 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:42:57 AM","3:47 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:43:16 AM","3:01 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:43:41 AM","3:01 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:43:59 AM","2:50 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:44:13 AM","2:50 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:44:31 AM","2:50 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:44:52 AM","2:38 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:45:11 AM","2:50 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:45:35 AM","2:38 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:45:54 AM","1:57 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:46:11 AM","1:57 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:46:31 AM","1:57 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:46:52 AM","1:57 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:47:14 AM","1:40 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:47:29 AM","1:36 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:47:51 AM","1:36 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:48:06 AM","1:26 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:48:31 AM","1:26 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:48:50 AM","1:16 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:49:08 AM","1:16 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:49:29 AM","1:16 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:49:54 AM",":41.8 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:50:07 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:50:29 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:50:48 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:51:09 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:51:31 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:51:54 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:52:10 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:52:36 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:52:55 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:53:11 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:53:28 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:53:47 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:54:07 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:54:30 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:54:59 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:55:03 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:55:22 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:55:44 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:56:02 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:56:27 AM",":33.4 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:56:53 AM",":20.0 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:57:09 AM",":20.0 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:57:29 AM",":20.0 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:57:47 AM",":20.0 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:58:12 AM","End 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:58:36 AM","End 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:58:58 AM","End 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:59:16 AM","End 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"09:59:32 AM","End 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"10:00:12 AM","End 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"10:00:33 AM","End 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"10:00:56 AM","End 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"10:01:13 AM","12:00 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:01:32 AM","11:39 4th","NA","NA",NA,NA,NA,NA,"NBA"
