"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:41:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
