"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:10:33 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:10:55 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:11:13 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:11:40 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:11:56 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:12:18 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:12:39 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:12:59 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:13:18 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:13:38 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:13:58 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:14:20 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:14:36 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:15:00 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:15:18 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:15:37 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:15:56 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:16:21 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:16:33 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:17:00 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:17:16 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:17:38 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:17:57 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"10:18:17 AM","12:00 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"10:18:36 AM","12:00 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"10:18:56 AM","11:20 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"10:19:18 AM","11:20 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"10:19:35 AM","10:56 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"10:19:56 AM","10:16 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"10:20:20 AM","10:12 3rd",NA,NA,NA,NA,NA,NA,"NBA"
"10:20:33 AM","10:12 3rd",NA,NA,NA,NA,NA,NA,"NBA"
