"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:40:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
