"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:45:30","8:29 2nd","Q2","66","214.5","3.3","1.3","6","NBA"
"08:46:06","8:29 2nd","Q2","66","214.5","3.2","1.32","6","NBA"
"08:46:15","7:52 2nd","Q2","66","214.5","3.2","1.32","6","NBA"
"08:46:41","7:52 2nd","Q2","70","211.5","3.2","1.32","6","NBA"
"08:46:48","7:41 2nd","Q2","70","211.5","3.2","1.32","6","NBA"
"08:46:59","7:41 2nd","Q2","70","211.5","3.2","1.32","6","NBA"
"08:47:08","7:41 2nd","Q2","70","211.5","3.2","1.32","6","NBA"
"08:47:17","7:41 2nd","Q2","70","211.5","3.2","1.32","6","NBA"
"08:47:23","7:41 2nd","Q2","70","211.5","3.2","1.32","6","NBA"
"08:47:30","7:41 2nd","Q2","70","211.5","3.2","1.32","6","NBA"
"08:47:36","7:07 2nd","Q2","70","211.5","3.2","1.32","6","NBA"
"08:47:43","7:07 2nd","Q2","70","211.5","3.2","1.32","6","NBA"
"08:47:49","7:07 2nd","Q2","70","213.5","2.7","1.44","4","NBA"
"08:47:58","7:07 2nd","Q2","73","213.5","2.7","1.44","4","NBA"
"08:48:12","7:24 2nd","Q2","73","213.5","2.7","1.44","4","NBA"
"08:48:21","6:50 2nd","Q2","73","215.5","2.85","1.4","5","NBA"
"08:48:28","6:50 2nd","Q2","73","215.5","2.85","1.4","5","NBA"
"08:48:35","6:50 2nd","Q2","73","215.5","2.85","1.4","5","NBA"
"08:48:41","6:27 2nd","Q2","73","215.5","2.85","1.4","5","NBA"
"08:48:47","6:27 2nd","Q2","73","215.5","2.85","1.4","5","NBA"
"08:48:54","6:27 2nd","Q2","73","213.5","2.75","1.42","4","NBA"
"08:49:01","6:27 2nd","Q2","73","213.5","2.75","1.42","4","NBA"
"08:49:10","5:57 2nd","Q2","73","213.5","2.75","1.42","4","NBA"
"08:49:20","5:57 2nd","Q2","73","213.5","2.75","1.42","4","NBA"
"08:49:26","5:57 2nd","Q2","75","214.5","3.25","1.32","6","NBA"
"08:49:32","7:00 2nd","Q2","75","214.5","3.25","1.32","6","NBA"
"08:49:38","5:38 2nd","Q2","75","214.5","3.25","1.32","6","NBA"
"08:49:47","5:38 2nd","Q2","75","214.5","3.25","1.32","6","NBA"
"08:49:53","5:27 2nd","Q2","75","215.5","3.5","1.28","6","NBA"
"08:50:00",NA,"Q2","75","215.5","3.5","1.28","6","NBA"
"08:50:13","5:03 2nd","Q2","75","215.5","3.5","1.28","6","NBA"
"08:50:20","5:04 2nd","Q2","75","215.5","3.5","1.28","6","NBA"
"08:50:27","5:03 2nd","Q2","85","217.5","4.1","1.2","7","NBA"
"08:50:34","5:04 2nd","Q2","85","217.5","4.1","1.2","7","NBA"
"08:50:43","5:04 2nd","Q2","85","217.5","4.1","1.2","7","NBA"
