"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:03:31 AM","1st 20:00","First Half","0",NA,"1.51","2.44","3.5","NCAA"
"08:03:49 AM","1st 19:42","First Half","0",NA,"1.51","2.44","3.5","NCAA"
"08:04:08 AM","1st 19:13","First Half","0",NA,"1.57","2.31","3.5","NCAA"
"08:04:31 AM","1st 19:13","First Half","0",NA,"1.57","2.31","3.5","NCAA"
"08:04:48 AM","1st 19:13","First Half","0",NA,"1.57","2.31","3.5","NCAA"
"08:05:09 AM","1st 18:56","First Half","2",NA,"1.57","2.31","3.5","NCAA"
"08:05:28 AM","1st 18:08","First Half","2",NA,"1.35","3.01","6.5","NCAA"
"08:05:48 AM","1st 18:08","First Half","4",NA,"1.35","3.01","6.5","NCAA"
"08:06:11 AM","1st 18:02","First Half","4",NA,"1.45","2.64","5.5","NCAA"
"08:06:31 AM","1st 18:02","First Half","4",NA,"1.45","2.64","5.5","NCAA"
"08:06:48 AM","1st 17:23","First Half","4",NA,"1.36","2.97","6.5","NCAA"
"08:07:11 AM","1st 17:23","First Half","4",NA,"1.36","2.97","6.5","NCAA"
"08:07:31 AM","1st 17:02","First Half","7",NA,"1.3","3.35","7.5","NCAA"
"08:07:49 AM","1st 17:02","First Half","7",NA,"1.3","3.35","7.5","NCAA"
"08:08:12 AM","1st 16:13","First Half","10",NA,"1.37","2.94","5.5","NCAA"
"08:08:29 AM","1st 16:13","First Half","10",NA,"1.37","2.94","5.5","NCAA"
"08:08:49 AM","1st 15:35","First Half","10",NA,"1.37","2.94","5.5","NCAA"
"08:09:08 AM","1st 15:35","First Half","10",NA,"1.37","2.94","5.5","NCAA"
"08:09:29 AM","1st 15:23","First Half","10",NA,"1.37","2.94","5.5","NCAA"
"08:09:49 AM","1st 15:23","First Half","10",NA,"1.37","2.94","5.5","NCAA"
"08:10:10 AM","1st 15:23","First Half","10",NA,"1.37","2.94","5.5","NCAA"
"08:10:27 AM","1st 15:23","First Half","10",NA,"1.37","2.94","5.5","NCAA"
"08:10:52 AM","1st 15:23","First Half","10",NA,"1.37","2.94","5.5","NCAA"
"08:11:08 AM","1st 15:23","First Half","10",NA,"1.37","2.94","5.5","NCAA"
"08:11:30 AM","1st 15:23","First Half","10",NA,"1.37","2.94","5.5","NCAA"
"08:11:49 AM","1st 15:23","First Half","12",NA,"1.37","2.94","5.5","NCAA"
"08:12:12 AM","1st 15:23","First Half","12",NA,"1.44","2.67","4.5","NCAA"
"08:12:30 AM","1st 15:01","First Half","12",NA,"1.44","2.67","4.5","NCAA"
"08:12:53 AM","1st 14:47","First Half","14",NA,"1.52","2.41","3.5","NCAA"
"08:13:11 AM","1st 14:47","First Half","14",NA,"1.52","2.41","3.5","NCAA"
"08:13:28 AM","1st 14:23","First Half","14",NA,"1.51","2.44","4.5","NCAA"
"08:13:49 AM","1st 14:23","First Half","14",NA,"1.51","2.44","4.5","NCAA"
"08:14:10 AM","1st 13:57","First Half","14",NA,"1.65","2.16","2.5","NCAA"
"08:14:30 AM","1st 13:31","First Half","14",NA,"1.65","2.16","2.5","NCAA"
"08:14:52 AM","1st 13:31","First Half","17",NA,"1.79","1.95","1.5","NCAA"
"08:15:10 AM","1st 13:31","First Half","17",NA,"1.79","1.95","1.5","NCAA"
"08:15:29 AM","1st 13:31","First Half","17",NA,"1.79","1.95","1.5","NCAA"
"08:15:49 AM","1st 13:13","First Half","17",NA,"1.79","1.95","1.5","NCAA"
"08:16:12 AM","1st 13:13","First Half","17",NA,"2.1","1.68","2.5","NCAA"
"08:16:30 AM","1st 12:34","First Half","23",NA,"2.1","1.68","2.5","NCAA"
"08:16:50 AM","1st 12:04","First Half","23",NA,"1.9","1.83","2.5","NCAA"
"08:17:09 AM","1st 12:04","First Half","24",NA,"1.9","1.83","2.5","NCAA"
"08:17:30 AM","1st 11:39","First Half","24",NA,"1.9","1.83","0.5","NCAA"
"08:17:50 AM","1st 11:39","First Half","24",NA,"1.9","1.83","0.5","NCAA"
"08:18:10 AM","1st 11:39","First Half","24",NA,"1.9","1.83","0.5","NCAA"
"08:18:32 AM","1st 11:39","First Half","24",NA,"1.9","1.83","0.5","NCAA"
"08:18:51 AM","1st 11:39","First Half","24",NA,"1.9","1.83","0.5","NCAA"
"08:19:17 AM","1st 11:39","First Half","24",NA,"1.9","1.83","0.5","NCAA"
"08:19:30 AM","1st 11:39","First Half","24",NA,"1.9","1.83","0.5","NCAA"
"08:19:49 AM","1st 11:39","First Half","24",NA,"1.9","1.83","0.5","NCAA"
"08:20:13 AM","1st 11:39","First Half","24",NA,"2.06","1.71","2.5","NCAA"
"08:20:31 AM","1st 11:39","First Half","24",NA,"2.06","1.71","2.5","NCAA"
"08:20:51 AM","1st 11:23","First Half","24",NA,"2.06","1.71","0.5","NCAA"
