"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:20:40 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:20:57 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:21:16 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:21:35 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:21:53 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:22:16 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:22:34 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:22:53 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:23:16 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:23:32 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:23:56 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:24:17 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:24:33 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:24:53 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:25:17 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:25:33 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:25:55 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:26:15 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:26:34 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:26:54 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:27:18 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:27:39 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:27:57 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:28:17 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:28:34 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:28:54 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:29:13 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:29:36 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:29:55 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:30:22 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:30:38 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:30:55 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:31:14 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:31:39 AM","Mar 16-8:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
