"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"03:31:16 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:31:31 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:31:56 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:32:11 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:32:38 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:32:54 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:33:14 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:33:36 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:33:49 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:34:09 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:34:39 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:34:56 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:35:17 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:35:37 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:36:00 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:36:15 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:36:33 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:36:48 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:37:09 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:37:35 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:37:53 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:38:12 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:38:35 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:38:55 AM","Mar 5-2:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
