"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:01:33 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:01:57 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:02:17 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:02:37 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:02:51 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:03:16 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:03:32 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:03:55 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:04:20 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:04:40 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:04:56 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:05:17 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:05:37 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:05:53 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:06:14 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:06:40 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:06:55 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:07:13 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:07:30 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:07:52 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:08:08 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:08:27 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:08:49 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:09:09 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:09:33 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:09:53 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:10:13 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:10:32 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:10:51 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:05 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:26 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:48 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:11 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:27 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:49 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:13:09 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:13:33 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:13:55 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:14:15 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:14:43 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:14:57 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:15:17 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:15:43 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:15:57 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:16:18 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:16:37 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:16:59 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:17:15 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:17:37 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:18:01 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:18:19 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:18:36 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:18:53 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:19:15 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:19:44 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:19:57 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:20:16 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:20:37 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:20:55 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:21:15 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:21:41 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:21:57 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:22:13 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:22:38 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:22:53 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:23:15 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:23:41 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:23:53 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:24:17 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:24:37 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:24:57 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:25:23 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:25:35 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:26:03 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:26:21 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:26:37 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:26:53 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:27:17 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:27:33 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:27:50 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:28:13 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:28:40 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:28:56 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:29:12 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:29:35 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:29:56 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:30:18 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:30:41 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:30:53 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:31:14 AM","Mar 4-7:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:37:46 AM","1st 20:00",NA,NA,"139.5","1.94","1.79","0.5","NCAA"
"09:38:03 AM","1st 20:00","First Half","2","139.5","1.94","1.79","0.5","NCAA"
"09:38:22 AM","1st 20:00","",NA,"139.5","2.07","1.7","1","NCAA"
"09:38:49 AM","1st 19:28","First Half","2","139.5","2.07","1.7","1","NCAA"
"09:39:22 AM","1st 19:28","First Half","7","140.5","1.86","1.87","1","NCAA"
"09:39:35 AM","1st 19:28","First Half","7","140.5","1.86","1.87","1","NCAA"
"09:39:48 AM","1st 19:05","First Half","7","140.5","1.86","1.87","1","NCAA"
"09:40:06 AM","1st 19:05","First Half","7","140.5","2.06","1.71","0.5","NCAA"
"09:40:21 AM","1st 19:05","First Half","7","140.5","2.06","1.71","0.5","NCAA"
"09:40:42 AM","1st 18:24","First Half","7","143.5","2.05","1.71","2.5","NCAA"
"09:41:10 AM","1st 18:24","First Half","7","143.5","2.05","1.71","2.5","NCAA"
"09:41:32 AM","1st 18:24","First Half","7","137.5","2.16","1.65","2.5","NCAA"
"09:41:50 AM","1st 18:24","First Half","7","137.5","2.16","1.65","2.5","NCAA"
"09:42:13 AM","1st 18:24","First Half","10","136.5","2.24","1.6","2.5","NCAA"
"09:42:37 AM","1st 16:47","First Half","10","136.5","2.24","1.6","2.5","NCAA"
"09:42:57 AM","1st 16:47","First Half","10","134.5","2.24","1.6","2.5","NCAA"
"09:43:18 AM","1st 16:47","First Half","10","134.5","2.24","1.6","2.5","NCAA"
"09:43:39 AM","1st 16:47","First Half","10","132.5","2.4","1.53","3.5","NCAA"
"09:44:00 AM","1st 16:47","First Half","10","132.5","2.4","1.53","3.5","NCAA"
"09:44:18 AM","1st 16:47","First Half","10","131.5","2.74","1.42","5.5","NCAA"
"09:44:37 AM","1st 16:47","First Half","10","131.5","2.74","1.42","5.5","NCAA"
"09:44:57 AM","1st 16:47","First Half","10","131.5","2.74","1.42","5.5","NCAA"
"09:45:20 AM","1st 16:47","First Half","10","131.5","2.74","1.42","5.5","NCAA"
"09:45:41 AM","1st 16:47","First Half","10","131.5","2.74","1.42","5.5","NCAA"
"09:46:01 AM","1st 16:47","First Half","10","131.5","2.74","1.42","5.5","NCAA"
"09:46:25 AM","1st 16:47","First Half","10","133.5","2.61","1.46","4.5","NCAA"
"09:46:36 AM","1st 16:47","First Half","10","133.5","2.61","1.46","4.5","NCAA"
"09:47:01 AM","1st 14:45","First Half","10","133.5","2.47","1.5","3.5","NCAA"
"09:47:13 AM","1st 14:45","First Half","12","133.5","2.47","1.5","3.5","NCAA"
"09:47:32 AM","1st 14:45","First Half","12","133.5","2.58","1.46","4.5","NCAA"
"09:47:52 AM","1st 14:45","First Half","12","133.5","2.58","1.46","4.5","NCAA"
"09:48:15 AM","1st 14:45","First Half","12","134.5","2.42","1.52","4.5","NCAA"
"09:48:31 AM","1st 14:45","First Half","12","134.5","2.42","1.52","4.5","NCAA"
"09:48:48 AM","1st 14:45","First Half","14","133.5","2.37","1.54","3.5","NCAA"
"09:49:05 AM","1st 14:45","First Half","14","133.5","2.37","1.54","3.5","NCAA"
"09:49:38 AM","1st 14:45","First Half","14","130.5","2.75","1.41","5.5","NCAA"
"09:49:54 AM",NA,"First Half","14","130.5","2.75","1.41","5.5","NCAA"
"09:50:14 AM","1st 14:45","First Half","14","132.5","2.61","1.46","4.5","NCAA"
"09:50:27 AM","1st 14:45","First Half","14","132.5","2.61","1.46","4.5","NCAA"
"09:50:58 AM","1st 14:45","First Half","14","129.5","2.45","1.51","3.5","NCAA"
"09:51:11 AM","1st 14:45","First Half","14","129.5","2.45","1.51","3.5","NCAA"
"09:51:31 AM","1st 14:45","First Half","16","130.5","2.67","1.44","4.5","NCAA"
"09:51:50 AM","1st 14:45","First Half","16","130.5","2.67","1.44","4.5","NCAA"
"09:52:09 AM","1st 14:45","First Half","16","129.5","2.74","1.42","5.5","NCAA"
"09:52:32 AM","1st 14:45","First Half","16","129.5","2.74","1.42","5.5","NCAA"
"09:52:58 AM","1st 14:45","First Half","16","130.5","3.07","1.34","6.5","NCAA"
"09:53:07 AM","1st 14:45","First Half","16","127.5","2.8","1.4","6.5","NCAA"
"09:53:29 AM","1st 14:45","First Half","16","127.5","2.8","1.4","6.5","NCAA"
"09:53:51 AM","1st 14:45","First Half","16","127.5","2.8","1.4","6.5","NCAA"
"09:54:12 AM","1st 14:45","First Half","18","127.5","2.8","1.4","6.5","NCAA"
"09:54:39 AM","1st 14:45","First Half","18","127.5","2.8","1.4","6.5","NCAA"
"09:54:54 AM","1st 14:45","First Half","18","127.5","2.8","1.4","6.5","NCAA"
"09:55:10 AM","1st 14:45","First Half","18","127.5","2.8","1.4","6.5","NCAA"
"09:55:28 AM","1st 14:45","First Half","18","127.5","2.8","1.4","6.5","NCAA"
"09:55:47 AM","1st 14:45","First Half","18","129.5","2.97","1.36","5.5","NCAA"
"09:56:04 AM","1st 11:10","First Half","18","129.5","2.97","1.36","5.5","NCAA"
"09:56:25 AM","1st 11:10","First Half","18","125.5","3.14","1.33","6.5","NCAA"
"09:56:42 AM",NA,"First Half","18","125.5","3.14","1.33","6.5","NCAA"
"09:57:09 AM","1st 11:10","First Half","18","127.5","2.6","1.46","4.5","NCAA"
"09:57:27 AM","1st 11:10","First Half","18","127.5","2.6","1.46","4.5","NCAA"
