"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"04:55:36 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:55:50 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:56:10 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:56:30 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:56:50 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:57:16 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:57:31 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:57:57 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:58:11 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:58:31 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:58:50 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:59:09 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:59:30 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:59:49 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:00:13 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:00:28 AM","Mar 18-4:15 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:00:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:01:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:01:29 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:01:49 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:02:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:02:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:02:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:03:08 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:03:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:03:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
