"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"04:01:41 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:02:20 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:02:36 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:02:59 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:03:16 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:03:40 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:03:56 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:04:17 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:04:32 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:04:54 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:05:12 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:05:41 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:05:51 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:06:15 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:06:36 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:07:00 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:07:13 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:07:34 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:07:48 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:08:14 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:08:37 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:08:56 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:09:19 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:09:44 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:10:00 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:10:19 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:10:51 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:11:01 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:11:28 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:11:53 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:12:07 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:12:27 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:12:41 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:13:06 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:13:24 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:13:50 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:14:13 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:14:25 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:14:57 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:15:08 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:15:31 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:15:46 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:16:08 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:16:30 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:16:45 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:17:08 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:17:23 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:17:43 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:18:04 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:18:27 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:19:02 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:19:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:19:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:19:44 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:20:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:20:23 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:20:49 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:21:07 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:21:25 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:21:45 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:22:04 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:22:25 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:22:50 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:23:03 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:23:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:23:43 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:24:08 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:24:21 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:24:40 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:25:09 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:25:27 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:25:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:26:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:26:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:26:48 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:27:00 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:27:23 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:27:45 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:28:03 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:28:26 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:28:45 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:29:01 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:29:24 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:29:50 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:30:04 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:30:34 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:30:55 AM","Mar 11-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:41:20 AM","1st 20:00","First Half","0","121","2.42","1.52","3.5","NCAA"
"04:41:52 AM","1st 20:00","First Half","0","119.5","2.36","1.54","3.5","NCAA"
"04:42:14 AM","1st 20:00","First Half","0","119.5","2.36","1.54","3.5","NCAA"
"04:42:33 AM","1st 20:00","First Half","0","115.5","2.56","1.47","4.5","NCAA"
"04:42:49 AM","1st 20:00","First Half","0","115.5","2.56","1.47","4.5","NCAA"
"04:43:10 AM","1st 20:00","First Half","0","119","2.42","1.52","3.5","NCAA"
"04:43:25 AM","1st 20:00","First Half","0","119","2.42","1.52","3.5","NCAA"
"04:43:45 AM","1st 20:00","First Half","0","119","2.74","1.42","5.5","NCAA"
"04:44:08 AM","1st 20:00","First Half","2","119","2.74","1.42","5.5","NCAA"
"04:44:31 AM","1st 20:00","First Half","2","120","2.8","1.4","4.5","NCAA"
"04:44:46 AM","1st 20:00","First Half","2","120","2.8","1.4","4.5","NCAA"
"04:45:16 AM","1st 20:00","First Half","5","119","3.32","1.3","7.5","NCAA"
"04:45:36 AM","1st 20:00","First Half","5","119","3.32","1.3","7.5","NCAA"
"04:46:04 AM","1st 20:00","First Half","5","115.5","4.25","1.2","8.5","NCAA"
"04:46:20 AM","1st 19:56","First Half","5","115.5","4.25","1.2","8.5","NCAA"
"04:46:41 AM","1st 19:56","First Half","9","119","3.32","1.3","7.5","NCAA"
"04:47:02 AM","1st 18:56","First Half","9","119","3.32","1.3","7.5","NCAA"
"04:47:40 AM","1st 18:56","First Half","12","120","4","1.22","8.5","NCAA"
"04:47:52 AM","1st 18:56","First Half","12","120","4","1.22","8.5","NCAA"
"04:48:18 AM","1st 18:13","First Half","12","120","4","1.22","8.5","NCAA"
"04:48:31 AM","1st 18:13","First Half","12","120","4","1.22","8.5","NCAA"
"04:48:55 AM","1st 18:13","First Half","12","120","4","1.22","8.5","NCAA"
"04:49:17 AM","1st 18:13","First Half","12","120","4","1.22","8.5","NCAA"
"04:49:35 AM","1st 18:13","First Half","12","120","4","1.22","8.5","NCAA"
"04:50:00 AM","1st 18:13","First Half","12","120","4","1.22","8.5","NCAA"
"04:50:25 AM","1st 18:13","First Half","12","120","4.25","1.2","8.5","NCAA"
